test set,language to,c0,c1,rmse,kfold rmse
flores,ka,3.049750722091772,0.041645199301129296,4.830156921909748,5.225574354865199
flores,gu,6.181402433629026,0.028302347073832747,6.254300452948854,6.755129434355921
flores,hi,5.291020122252131,0.02571098394516416,5.2806172178450375,5.383011607796203
flores,si,3.329031824685187,0.026486721702895066,3.4198125909715213,3.5096739924996605
flores,ta,2.5414551786013417,0.03010597419252039,2.525773735682954,2.600768915382073
bible,ka,7.8691285681645144,0.02713807667301212,10.743277238298502,11.57314481888642
bible,gu,10.32296088523548,0.020338621058396806,10.081010349103158,10.837622089054385
bible,hi,13.99708933290217,-0.005289324898778813,12.226628070893394,12.95421520376597
bible,si,15.864227845110253,-0.007558152880588923,15.676285409305097,16.51834508753719
bible,ta,12.39801744984257,-0.006093846479770286,12.452588699025213,13.198205692844843
gov,ka,8.861617914258066,0.029603865973941296,13.655050103308236,14.697729607465098
gov,gu,13.239248234125226,0.018590540256498832,15.078378602248108,16.176770715136666
gov,hi,11.317435397368483,0.023272968508682063,13.283311369650347,13.549461540847066
gov,si,13.219985371194118,0.026295269501975405,17.63273468393622,17.969561565492196
gov,ta,11.218999393728222,0.025584051854637926,14.644672311005898,14.941753962272333
