train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3",rmse,kfold rmse
gov,1,flores,159.60814517016976,-76.26587783583795,-89.80605126746599,-43.833587522515664,183.6763368945339,-55.88507087769046,-152.81510567223486,-281.8422207647003,-109.43194912323278,297.08964906705165,2.020777677079073e-13,1.2484781880650786e-09
gov,1,bible,36.88430770995258,-27.697085675881556,-35.02777841536637,-27.986810192743654,28.58530030728702,-6.041020530198092,-20.437413318548156,-42.61492516736074,-14.391548919541014,46.3931335205746,9.308943299356954e-13,4.3146855231651945e-11
gov,1,gov,286.369825803394,-215.95912479375198,-47.71333228686865,239.89639644084025,404.98104761721714,-125.69975598665125,-348.4719265348156,-564.5872216276296,-226.4573143233398,594.6081211528339,5.752763917964294e-14,4.640136425588226e-09
gov,10,flores,164.37875781325064,-135.84480422371055,-158.7872117527642,-135.74203680817047,111.08111948396925,-33.69966323966674,-86.81524833083715,-144.6488025753684,-41.26842976924374,153.84583388059255,1.683326578995851e-14,3.319926865112271e-10
gov,10,bible,66.24051562342514,-41.50240574934023,-53.88784203029355,-43.73989680984864,51.51902456959858,-13.008980130326462,-40.09148973828057,-84.64120897360162,-29.24230561149238,88.14654150384021,1.3169042275042365e-14,7.3329027942093e-12
gov,10,gov,132.2512430675751,-11.780603305579891,-29.76106853854647,22.880116547418723,155.93452150622974,-54.072164584692054,-140.96874739389577,-276.6810857395778,-88.86099506874257,304.6234527291772,1.6587787186393758e-14,3.6344511848587566e-09
gov,25,flores,179.41805104704446,-158.33298629487692,-181.70977279228538,-156.10350569975105,126.51617645313019,-38.48481330618365,-98.12888821793591,-140.23014918983412,-53.56447455213287,166.07645038163338,2.3242460022453493e-14,3.025106937278931e-10
gov,25,bible,75.5958386098175,-44.12329502312748,-59.7536724252279,-46.513076404012665,63.21547961806918,-15.955769501640546,-48.77533728221122,-102.66567355178243,-36.84754367322034,107.18114827267627,1.5034567889692265e-14,6.318812705528251e-10
gov,25,gov,140.72665833343228,-25.97391654677632,-37.10127707098345,10.219027437556141,165.42471778285596,-59.58079833361008,-151.0314100523383,-278.4224071120643,-86.0183016378773,314.461367746701,1.1085377592653682e-13,4.5289676175014895e-10
gov,50,flores,21.09646343773429,15.385199307192424,8.894055272017235,15.703487040433325,-6.486777751145783,-10.295187810187091,-10.09626826036911,-6.2273203785114,-8.641201422380359,-11.379750002641218,6.150240728229578e-09,1.7625241348461158e-09
gov,50,bible,3.6261874187363405,0.8399014373561857,1.9467298993751865,-0.1336486699430247,0.34632388175671275,-2.5315761111427837,-3.0362038377032636,2.639585240897984,-3.643508979956437,-4.965030741075652,1.5893098003368862e-11,7.881292683417702e-10
gov,50,gov,10.909202585505478,6.9582931902281056,4.577900387037939,3.4144541104362602,-1.2947601208279376,-7.778453828400862,-17.28439451918513,23.74609526843556,16.454335560316455,17.036047156440297,1.4292212347151235e-08,4.814335381310698e-10
bible,1,flores,41.83943986191256,-13.328769553205976,-21.924400647520102,-18.287175298131036,19.21222456617352,-3.5188672745778886,-11.760834854107564,-65.49593857156552,-26.32844616862972,71.55442464368896,1.9452951285628166e-10,1.004148494515353
bible,1,bible,119.09019736084073,599.9623163032284,-290.38551358819797,-517.3879875160942,226.68904983181534,-779.0624028281394,795.2647707171793,-559.5142779683729,-255.6585055198901,663.6203799800003,2.8261301767784075e-10,3.5089159243834063
bible,1,gov,19.085838204872296,-1.7521170613611254,-19.192015773829166,-15.802052870097592,30.422879602834108,4.687541664663136,-45.1229917940149,-38.470470592811324,-20.019554704426014,44.137376077421926,8.523192028219916e-10,0.6009563587677138
bible,10,flores,42.84387717535141,-30.66467585430402,-39.32475195663012,-32.069836647916645,25.139547858019316,-4.514234052320903,-17.649996004428296,-45.69166551846398,-12.648008462141652,48.298670299039145,6.789073955410143e-10,1.091792798960861
bible,10,bible,63.0197965289683,118.82187010806658,542.7161896429676,-804.7553144419874,270.59871702592824,-112.04106576821614,-240.24056263757694,-386.0934851760383,-157.56291650005235,417.4014480718619,5.108129372755648e-09,0.7006043461564728
bible,10,gov,44.39656776079938,-20.77963963066581,-30.10839347764616,-24.55733882818451,26.29757853402059,-5.3508710049563835,-19.551259350465635,-63.53687098740994,-21.049325552232627,65.60431024507942,2.404023724841389e-10,1.183602244428625
bible,25,flores,37.65958168906426,-30.65859139079881,-38.37400610781938,-31.74069587597471,25.57162572734133,-5.037240886621003,-17.670167014167895,-34.409889185816986,-11.060530705549004,38.28938174277225,8.36108067951316e-14,8.518853475988091e-14
bible,25,bible,155.89165231534403,-30.73906082394485,-55.85228085734651,282.6245799290143,270.0108140680887,-108.48636616212451,-247.67226115196914,-382.1596937774335,-157.6973070879685,411.4172349283806,4.333728236922783e-14,6.141852077039252e-09
bible,25,gov,40.315739952001444,-28.32375925766188,-37.04380380380073,-29.344730043719878,33.66606713863421,-8.394197684088319,-25.362635904308153,-48.189236417939696,-17.648512266421754,53.20461047705477,1.8745655632443394e-12,1.2824667980185143e-09
