train set size,language to,c0,c1,rmse,kfold rmse
1,ka,-0.9212209228746068,-1.2643980476148944,2.28232413801018,3.1810725435092255
1,gu,2.697316863544222,-1.3277874998012968,5.72861140273908,9.511336619346386
1,hi,0.9259263649964086,-1.4150702723546393,4.145204917988598,5.929421493112579
1,si,-1.7805027536511613,-1.7768207925284902,0.7663102690467896,0.8017645578135543
1,ta,-0.38395614542905016,-1.407397063825199,3.7815182320220635,4.857437663269741
10,ka,2.4663044421432656,-1.4205867274052206,6.6652394759684706,8.581167203095541
10,gu,6.435568260031661,-1.3662945289468815,8.599663757970804,13.197303905004096
10,hi,3.8120748826290507,-1.4563856152096024,6.68741458244444,8.578444327154548
10,si,-2.0912695177982476e-08,-1.6659777791297798,2.4352534606459812,2.5547580635101075
10,ta,-0.048495601633509376,-1.4889292408219943,3.697809433625209,4.155655395803877
25,ka,3.517099461986456,-1.4361953611654943,7.602213060101477,9.986739295628274
25,gu,7.9921396630885395,-1.371552822524134,9.70038457360891,15.23829206507502
25,hi,4.757157763225286,-1.468613616689211,7.440951836085049,9.582130183409234
25,si,0.8339439514582243,-1.6701507102906692,3.6287905600959856,4.008470061061376
25,ta,0.4018918353698241,-1.49672384820664,3.5818900566934464,3.959021085706599
50,hi,5.771961152804654,-1.7700406746161492,4.861551673590957,43.64419145400425
50,si,3.3326735020477005,-1.6304802122474447,3.5608722370059374,210.07255473263925
50,ta,3.046491722438322,-1.5452414308766518,3.177479604427876,148.4611478782683
