train set,test set,language to,c0,c1,rmse,kfold rmse
gov,flores,ka,5.349926905201456,0.041117710486539304,2.9361672668683045,103.76782232760293
gov,flores,gu,10.073145437216189,0.028757047477066172,2.397161868137537,22.25784087323829
gov,flores,hi,10.50239060386228,0.013026810942296015,2.742772125900854,8.728432552756436
gov,flores,si,6.606679721940242,0.01377779249734564,1.9785147946968897,7.105193517700556
gov,flores,ta,4.857167976374192,0.017851793581658244,1.5388620047522208,5.823338032807137
gov,bible,ka,0.6965220763968086,0.03802272317355583,0.3747806026605133,11.67987275442404
gov,bible,gu,2.680872910179875,0.024521974419608992,0.42895178551277735,3.0370710874492675
gov,bible,hi,2.070227939675403,0.011820066773403684,0.7546022221367087,2.5815286294178827
gov,bible,si,0.5777922447806232,0.02021245759816539,0.2526325595773247,1.1363041750865197
gov,bible,ta,0.5978834641583674,0.020792357083138792,0.22106388593383733,1.3284392515708052
gov,gov,ka,17.458269665058427,0.029042500867112065,5.567921374106731,65.0184538956699
gov,gov,gu,25.199017332303,0.01757132719298439,3.056229981654198,17.50318965275716
gov,gov,hi,25.775476307628377,0.008194191327855167,4.431767877221639,11.811635712490359
gov,gov,si,31.517240079301367,0.010278357494819427,7.034770090078899,20.434736708092384
gov,gov,ta,26.83851127629388,0.009467846953732238,5.136676453542563,13.70234325086189
bible,flores,ka,0.897052532815959,0.037742968197736766,0.3824860121141445,0.5360727759448394
bible,flores,gu,2.473097749413523,0.022896750275388705,0.5137864218477449,3.9697129797636412
bible,flores,hi,1.7390315805109775,0.020468502130189838,0.27064502430170184,0.34896411408968026
bible,flores,si,1.0462793541583522,0.025687417373817505,0.26029375236634883,0.3426391091122063
bible,flores,ta,0.9908817515703316,0.029378272650169037,0.20506626032064224,0.2724967447237819
bible,bible,ka,15.243762625564008,0.02596724097771866,3.177661705208476,4.175970032836963
bible,bible,gu,18.16970437375296,0.0191696604467453,2.2051688731498547,12.987477560542239
bible,bible,hi,20.57044958283663,0.01914464984238918,2.3511654553469294,3.0155775873955633
bible,bible,si,24.463485992870048,0.01942570785846295,3.3133062529215445,4.256473328519759
bible,bible,ta,18.657702773082335,0.022051667703557935,2.701678109810914,3.496854240297061
bible,gov,ka,0.43852275592871054,0.034554269603623795,0.13891605187930064,0.18983558583435736
bible,gov,gu,1.4967798872260698,0.0278681591209441,0.3183654160383551,2.7248190577456146
bible,gov,hi,1.2266040231733304,0.01746087199798414,0.24925403311425062,0.31950552817099714
bible,gov,si,0.5059844612083814,0.024745723105083047,0.11360139849454501,0.1488632993370429
bible,gov,ta,0.41168101808563,0.028406272122420473,0.11561448117884171,0.1539385074609205
