train set,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,flores,20.60403825189072,7.395143179564904,-4.492842449029041,-15.19205584072562,4.776655292821505,4.815428283210807
gov,bible,5.156588259097241,1.6708617560870214,-1.4662897204509728,-4.289730738970706,1.1628881297483808,1.17181702137575
gov,gov,37.0073697034456,15.980984986946314,-2.9428216152615994,-19.97410008630676,9.531822603031102,9.621214441564282
bible,flores,4.078730801634324,1.4349498755412424,-0.9444486668864647,-3.0859093441158665,0.8925826033203202,0.9005741715861175
bible,bible,30.13960063250015,12.779203800944712,-2.8451397984914837,-16.907003758922194,6.859748402687301,6.930601455068749
bible,gov,3.278637047253152,1.0567879287384083,-0.9428752080994441,-2.742574052534744,0.6194083201104746,0.6245620583944895
