model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,4.31220525377666,4.752924037919779,3.3467970766981217,4.924814111763235,4.308675468460004
poly2,True,False,4.339197019243413,4.561364674950043,3.338603783571469,4.936089711986801,4.326721722848916
poly3,True,True,4.332406284424003,4.581248322100266,3.3624814780451886,4.597657625787928,4.337824052401851
exp,True,False,4.656615551075013,5.992228406486225,3.963719281167795,2.662570951275794,3.214870108177135
log,True,False,4.476562328662956,5.996765415339813,4.163155248677471,2.724716279023169,3.4570130698599555
power,False,False,6.399541648123842,7.725539923994688,6.343302645317138,2.903222079228468,4.112329045201964
mult,False,False,5.719321049912098,7.487333920167773,5.745343206156671,2.9505274615850565,3.7208282901014487
hmult,False,False,6.610775744243658,8.676813650471802,7.048471227937307,3.094993743547528,3.926125401291832
am,False,False,10.710728492691768,10.94707077652548,12.507092171278227,16.32976437607422,13.371603640306583
gm,False,False,11.264495516490369,11.710108366157463,12.535949176403154,16.326601727316906,13.319490741799129
hm,False,False,11.331969997468777,11.807401403750356,12.46501285722248,16.195443602221463,13.188876749078934
diff,True,False,3.954116816993893,4.734184348180046,3.2702497131658994,4.48947866556251,3.956147549992212
