model,multi factor,multi variable,overall linear,sliced linear
linear,289.67%,97.21%,96.72%,100.00%
poly2,289.35%,97.11%,96.61%,99.89%
poly3,289.30%,97.09%,96.60%,99.88%
exp,289.67%,97.21%,96.72%,100.00%
log,289.66%,97.21%,96.71%,100.00%
power,289.66%,97.21%,96.71%,100.00%
hmult,289.60%,97.19%,96.69%,99.98%
