model,pareto,rawlsian,gov,bible
linear,False,False,14.49370970430788,12.031398150933976
poly2,False,False,14.48377399678265,12.012437233380371
poly3,True,True,14.479736437014742,12.01222172429024
exp,False,False,14.493655138150505,12.031353152770915
log,False,False,14.492855625873483,12.031513605654386
power,False,False,14.492830284427871,12.03146103095357
hmult,False,False,14.489182453486295,12.029567239284445
