train set,train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
gov,1,flores,1.2915839009256673,0.6118017804397055,-3.732314229099835e-10,0.0013090429247276359,-0.004065062988119163,3.536658578156393,3.1925395788626876
gov,1,bible,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.632914301046807,0.002238327417046773,-8.258765489487941e-10,1.0127440480103528e-07,2.5349135954890497e-07,4.505765415149831,5.2434341265790625
gov,10,flores,3.7278159123217485,3.1880656640894185,2.7022913038437073,-7.14235144146159e-11,0.00463458915206433,4.581881081821243,3.9330995501146897
gov,10,bible,-6.962511261903849e-18,-9.353982752302693e-18,-1.1506307362529144e-17,-2.669971766111127e-17,-3.3746988727960976e-17,2.3958297101421877,2.3958297101421877
gov,10,gov,13.036131278867787,11.317737586137978,9.771142006164716,-1.4556806010049964e-09,-0.27137796148713017,5.209505527550869,4.7097462557212735
gov,25,flores,6.361910197921171,3.7177434164932843,1.3379596573881507,0.000560267177359947,-1.8127609905943995e-09,5.2027897150858555,4.141186353415456
gov,25,bible,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,24.47575110308061,12.12830180491538,-8.541674987417116e-11,-3.189633059122832e-06,-0.8094820388677807,5.517517982705068,5.792075924724551
gov,50,flores,7.654368746993831,3.6257597363696616,-8.730618717235723e-10,-0.002300794861386331,0.021310272093705472,4.7325226054497636,3.569218971237292
gov,50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,16.291974314041752,13.895747101299948,11.739476584133095,-9.524897408499967e-10,0.007199047263615511,6.560346491652175,6.00937457081333
bible,1,flores,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.520404244701554,0.0013491039034782028,2.151765430377394e-05,-1.2572190838084985e-06,-5.573852354265124e-10,3.9496139577972182,4.201150899641753
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,19.8819836385779,5.300525395301429,0.03288349436740909,-2.842096276215273e-09,1.6289126554123497e-06,4.621003215783183,4.459324513112644
bible,10,gov,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,11.385482625612193,9.873253886147921,8.512247936157454,-3.2273903719114652e-09,-0.1757325975865641,5.709647980735023,4.597220536966268
bible,25,gov,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
