train set size,language to,c0,"c1,1","c1,2",rmse,kfold rmse
1,ka,15.673269595743877,-28.7075941790163,-7.569824067034222e-09,1.4409994302917686,1.4867686372333793
1,gu,21.66850081767261,-16.9061511195987,-39.13014001983876,3.1033673788608347,3.472851399012861
1,hi,25.215861834346907,-46.14224781366542,-2.383297543454154e-08,1.636458992813035,1.7557713350133455
1,si,28.913736755556425,-50.55670715978438,-6.711380082845343e-08,1.9166421080277696,2.026485034803733
1,ta,22.325991251116506,-39.45413798930691,-9.608826107202142e-09,2.3319694090572654,2.4952923904824877
10,ka,34.09757744499636,-64.27779925753894,-9.061741638257827e-09,3.0423800348314893,3.4280680826229895
10,gu,32.0644563485779,-20.38851320269152,-67.39753958699386,3.969008030216098,4.4910876603493355
10,hi,37.676861847840144,-68.57588472776223,-0.0016366076238347547,2.6084460241103247,2.8412593156369508
10,si,45.67481599740431,-82.42563295935074,-1.6466677313940163e-09,3.6683215073719047,3.9168212370642475
10,ta,35.81031841570715,-64.221984358946,2.7306102736238606e-10,3.4838407459382403,3.767403755520052
25,ka,38.687360492483,-72.684472301878,-1.8896693964068244e-05,3.068432928634638,3.368382566089993
25,gu,35.11147051389752,-14.409589292333807,-88.5394155862969,4.134903174615536,4.711092767644728
25,hi,42.06225575498108,-76.63507453635769,-5.0606999960287755e-09,2.50970679993118,2.8425350904368094
25,si,51.18350065945476,-92.56415330707438,-1.2303366338979542e-09,4.003717138038712,4.251483035257357
25,ta,39.91362641358033,-71.1276501952507,-1.087705867421223e-09,3.3475772550214256,3.585438203473871
50,hi,48.04682090196396,-85.46383518795385,-5.5351717701604774e-09,0.5532660812673718,2.2749493813010955
50,si,57.11944803997318,-104.3446265329581,8.755394951731544,3.282104300403755,9.456323775301401
50,ta,46.643880993851404,-80.66507647457227,-3.072492919166278e-09,2.596270979055384,7.0280507055768515
