train set size,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
1,3.048413344473087,3.412898389887801e-05,-1.2694344863065017,0.2972465907503843,0.07408961901309924,-3.150072495360871,-1.2221898588933652e-09,8.008226885686282,8.022272074141506
10,3.1803877746393296,7.400568664205868e-09,-2.272087500475255,-0.00010600126332083723,0.7702142869228087,-1.310652854661195,0.007609777291335093,13.500838665313955,13.55375117474417
25,3.374281117828327,2.0463180489296691e-07,-2.4649484982098566,0.006861385591986168,0.8574085067272442,-1.1949181898508816,0.026994823151097084,15.122088995893733,15.183393184649068
50,1.4360622239204568,-6.3800730334001775e-09,-0.8908241413273408,-0.3022211128941563,0.6469487469201316,-0.0013419963378952138,-2.1385832928655217,17.18205160551786,17.86151681134484
