train set,train set size,test set,c0,c1,c2,c3,c4,rmse,kfold rmse
gov,1,flores,-20.315531941811532,85.61150570988944,-63.61987307516428,-14.98270130930171,-41.6705626229304,2.5100274141028043e-14,2.062888788377781e-14
gov,1,bible,-17.979738873628904,13.527031891130846,-34.432712407765926,-0.2751893318854006,-3.6897839689112715,2.174875615619213e-15,6.85736870250964e-16
gov,1,gov,72.34105139136473,174.68691583932153,18.185509597742364,-32.65320921576636,-89.69113303894518,2.263722695101079e-14,3.0602870235949853e-14
gov,10,flores,-92.69741483835686,48.55241318163477,-171.60170362782998,-6.2783539585166634,-7.563107257920456,2.2523336141200936e-13,1.1131111769164525e-13
gov,10,bible,-26.858475554949937,25.244215677723016,-51.30403435136701,-2.6710527006499953,-10.59452892753955,1.9995963464156168e-12,3.772471837966828e-15
gov,10,gov,80.80550695998267,97.1715266975033,26.007246193027594,-27.138121088195163,-18.305667460500416,8.55606755492907e-15,7.280896430443988e-15
gov,25,flores,-107.55817061879019,51.63251170344549,-199.91720394611536,-5.726318929419906,-4.929696181175178,1.3293037379376718e-14,1.1675408533417186e-14
gov,25,bible,-27.078441855048954,30.370331813119478,-54.33240768138004,-2.9407877397564945,-13.793562151358739,4.069799689310223e-12,3.9459019395823464e-15
gov,25,gov,79.93481286395973,103.56615324354695,13.402750188687824,-30.329456834640467,-9.647053409535829,7.78360568894479e-15,1.3101760682293513e-14
gov,50,flores,-3.6441283219054124,-7.615982614815614,-3.500693814573637,-7.033243307926793,-13.62784043369662,3.076740298213702e-15,0.0
gov,50,bible,-1.369820092060035,-1.8404773026556203,0.4552844294255871,-1.143751987276008,-4.959051450637956,1.0413285946752871e-12,1.5809133750386223e-12
gov,50,gov,36.825119895758206,5.387201472995327,-28.906520349295125,-10.345414904104691,55.67404962208399,4.1023203976182695e-15,0.0
bible,1,flores,-4.585828013305003,18.61461269131821,-14.67380391919151,-2.6006646108648797,-9.625824721261298,1.6271557325993325e-13,0.25349851320644273
bible,1,bible,88.35840002157884,152.6457802569776,62.207828009908525,-39.83073592569226,-77.02892990966629,8.702335715267317e-15,0.15101379120014688
bible,1,gov,-4.566989622059008,12.745313962627591,-11.584965159977312,-2.0431752889960695,-6.501662899353008,8.917505491694873e-15,0.21461840052488898
bible,10,flores,-19.203384119648682,14.32881283632263,-38.72976655761906,-0.6338838261879701,-3.001564486279825,1.6370430812644257e-13,0.6682604268222229
bible,10,bible,104.84448109910055,125.66976699288416,77.82923187280046,-39.062147373382075,-52.362323773858435,1.3605857528721374e-14,0.4321697134091279
bible,10,gov,-11.519274362581704,18.194816175969812,-25.174577577849487,-2.3463837156112417,-8.204761622106936,2.6165265105087387e-12,0.43378613668694344
bible,25,flores,-20.00233017221152,11.392958077993896,-39.64712928296198,0.3317796431224307,-1.8656388104933201,1.569907804952356e-13,2.383912077155367e-13
bible,25,bible,122.68735042564965,125.76492361625962,99.86907277369282,-39.96086406769221,-56.49011845171572,4.14314051144892e-14,7.770622184177861e-14
bible,25,gov,-18.02392175477866,15.572113034011702,-35.60341132840463,-1.1324457655953903,-4.556471305232865,4.799708701867475e-15,1.1007792704819446e-14
