model,multi factor,multi variable,overall linear,sliced linear
linear,64.83%,22.42%,22.42%,100.00%
poly2,53.64%,18.55%,18.55%,82.75%
poly3,50.97%,17.63%,17.63%,78.62%
exp,68.24%,23.60%,23.60%,105.27%
log,50.40%,17.43%,17.43%,77.75%
power,52.14%,18.03%,18.03%,80.42%
hmult,60.65%,20.97%,20.97%,93.55%
scaling,50.23%,17.37%,17.37%,77.48%
