test set,language to,c0,c1,rmse,kfold rmse
flores,ka,2.12181029385512,0.43745347261875495,4.601586273980928,5.011956793662374
flores,gu,5.189875964396537,0.2694820170955375,6.09562462686695,6.497180248886917
flores,hi,2.8820777208054698,0.44674105118678037,5.4115314416627465,5.628444730167938
flores,si,1.6904554999683215,0.4783508237442207,3.4401556430783646,3.569643053162588
flores,ta,0.9764529264426827,0.5993270193231189,2.59017597541336,2.7135287298270003
bible,ka,6.653999088817589,0.2584129761404818,10.607358848343406,11.31759295641393
bible,gu,9.409209550908157,0.18015867958795703,9.99620333303858,10.632131932999165
bible,hi,11.88825853064612,0.03566880690672101,12.27328840740003,12.705843035205854
bible,si,13.44798810203158,0.019172245706623167,15.797291183370332,16.324605609547707
bible,ta,10.379976738335811,0.036301716587706465,12.505430443656552,12.920134334808955
gov,ka,7.083955959512094,0.2990004760212227,13.408203372638456,14.667115092396358
gov,gu,12.115884027440343,0.1666575537605533,14.988486996804337,15.932836915062717
gov,hi,7.568964841743475,0.35409847221626056,13.723033324924335,14.284490091264212
gov,si,7.111709607253542,0.45402188689974643,18.147419668918705,18.833337146146075
gov,ta,6.545127904056838,0.420582027575627,15.160889219410189,15.758041961018188
