train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
1,flores,-1.8707443408957116,1.3941404360262394e-08,-5.941013332910432e-09,0.0237006112072888,-0.9109254615011221,-2.6773849863117416,-1.0590960900463762,1.9648656871055084,2.0977150346580604
1,bible,1.9103914958102861,7.985048620827283e-09,-3.4506060024662,0.007218187295629303,1.2690408769661221,-3.4689471026509513,0.31176186403109746,8.295975284144589,8.921106292529212
1,gov,-1.5975743965539505e-08,0.005348554381729254,-6.669658879048932,1.145227076702563,1.0370064839894721,-3.5823074713806453,1.4817050237047238,9.435335891858848,10.222951342050976
10,flores,-1.5645387959683832,0.001922581762633836,-2.363518773654304e-09,-0.2677304368016475,-1.0019934941312905,-1.0365000945897453,-1.5007374459276834,4.979804911516827,5.335367962950971
10,bible,8.211282225034296e-05,4.5765946377671227e-07,-6.951313091192256,0.478146587619968,1.7094852777597207,-2.0362959558229194,1.4654616736509387,12.979851562001604,14.116349750578468
10,gov,4.71685612383706e-06,1.4240510722126192,-7.869801083036843,0.21629330473363534,1.5128551300095858,-0.7729420679104311,1.3159239150779785,16.850344355150845,18.377899552869827
25,flores,-1.2349814247127895,-6.715652189338684e-09,0.01939963129240432,-0.31279008592984614,-0.9985601577899773,-0.8888225486811139,-1.6058479302455984,6.044325779470855,6.49092067262483
25,bible,0.02843418218807656,-4.405856784787831e-08,-7.645767761684986,0.6177186716579273,1.710878875576697,-1.9892284553390414,1.7149593686024425,14.810321965543734,16.135938613541988
25,gov,0.11572293843471333,1.6824588611168157e-09,-7.4944986366309525,0.5109223439487531,2.2846382996954153,-1.1888237437656513,1.2545947734112133,18.701890323979008,20.405019874760594
50,flores,-2.0653105527446803e-09,-0.727538195438528,-0.8437859447580431,-0.280583320128625,-0.7450155538262061,-0.3494594953539121,-1.1635524000640802,0.12794289883958807,2.6931266020474944
50,bible,-0.4951461266175981,-1.2756804909118608e-08,2.0749630121296248e-08,-0.46175199008156353,-1.5515565483857934,-2.033756819569106e-08,-3.3475646358324184e-09,0.17620340595914963,0.7005973415443848
50,gov,3.449858225700712e-06,-5.658893832124784e-06,-1.3426438767284157,-0.1493521254261673,1.4715991063036196,-4.472390915042442e-09,-3.4941488677835046,0.01662947007938475,7.784862403062971
