,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,12.190283509084834,2.778366816759609,8.43464155286987,13.449047105307196,14.500828178538027,18.48614927320611
poly2,True,False,12.029109554541094,2.723093560637212,7.9955512125813435,12.85274804746944,14.718545806209642,18.444383497606943
poly3,True,False,12.20415112528863,2.695274737142971,7.938274755813463,13.082827326613629,15.402986067917519,19.996076048549423
exp,True,False,12.06621700205168,3.0175943069265045,8.197453861704794,13.29673089621003,14.298326518752946,18.53773123582471
log,True,False,12.001023427507214,2.966431338075209,7.862222310219769,13.31804439417183,14.807118017869296,18.86543774114168
power,True,False,11.995212204247302,2.630162847938684,8.016053068733797,13.445506892877486,14.533274808467372,18.262261708662678
mult,True,False,11.995212204247302,2.630162847938684,8.016053068733797,13.445506892877486,14.533274808467372,18.262261708662678
hybrid_mult,True,False,12.056879786268647,2.590649701845152,8.177799851579179,13.474568634717237,14.442051730776566,18.46464827068767
am,True,False,,,,,,
gm,True,False,,,,,,
hm,True,False,,,,,,
scaling,True,False,11.982837825949028,2.6301629481636084,7.998283362551268,13.375814277151315,14.513830475096775,18.262257695849847
anthony,True,False,,,,,,
diff,True,False,,,,,,
