train set,train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
gov,1,flores,3.6569006097862493,0.6330058316470375,-0.03109245556375098,1.1571877505165744,0.044508744457652245,0.0022357010651933664,-8.802783461774238e-09,2.202825298286158,2.260356553064526
gov,1,bible,0.4353479345298361,0.09232892597488412,-1.0248898947043042e-09,0.23531388104127451,-3.200535491268028e-07,0.18285854797866208,-0.0005783950240356183,0.7898459815189283,0.7950202657632326
gov,1,gov,1.0515267893779257,43.55928599204753,0.014171877360032612,0.5606437357023387,0.00012964545542482026,-7.042463247450204,-1.9843413894747333e-09,2.365661083302491,2.8262683886526534
gov,10,flores,25.699650457763287,0.07431073968033564,-0.03409186539653295,-0.011756072547571586,-13.027120826329817,-9.15677461872919e-09,-13.23476128719795,2.634356496627975,3.1113351319536413
gov,10,bible,1.9324314485207084,-5.267297262175798e-09,0.00010941570539523911,0.1292355412786797,1.3406652044561362e-05,3.3819557149381187e-06,-3.4311907076398243e-06,1.2557369376621261,1.2988399641097625
gov,10,gov,-0.002771289872021904,9.047916933666833,-4.538176896660311e-10,-1.7000046678728307,44.64215615251403,-0.0038708840532922922,0.09655161790727072,1.705874269468364,2.2514880236587107
gov,25,flores,33.485944363662355,0.0701498615277084,-1.7785546619936168e-09,-0.03978584292967508,-15.950819712682353,-2.957760249277943,-14.874898545575794,2.8631492152669473,3.4082015713719604
gov,25,bible,2.1109552563950715,-1.104009722148957e-09,4.938963733065294e-06,0.7539845316984833,5.459329622291802e-07,3.028865794884373e-07,-6.891536710069055e-06,1.4050461748419472,1.4740943144634566
gov,25,gov,1.7023557531204105e-08,-1.5909335387825967e-05,-0.0007310070469052401,-3.2085077657417926,58.88042281944288,-0.058436589225752504,-4.511262279649499e-05,1.8732067669609873,2.446379534965596
gov,50,flores,32.31517521259751,-9.104165322348493e-09,-6.592818251673509e-05,-15.443364675759566,-16.367370745424083,-0.0004003406561891965,8.301403023312974e-07,1.1338429768894573,3.419801403661561
gov,50,bible,1.4104513649202606,-0.00031024528970233765,0.009560833721903719,-8.25854552985299e-09,0.004878888404831007,0.7580178189405357,0.009093084151943613,0.8912836131513372,0.9546712960544855
gov,50,gov,0.38500089689557604,-4.149280983726237e-09,-0.7988467848700634,-14.508833188571446,69.65939104296677,0.641901936261532,-0.4168070402434046,0.667180117309209,3.3631219934602257
bible,1,flores,0.9213003746433377,0.00067069398819566,0.004001556750907431,0.3242415741123285,-0.0010855685143324257,-5.660917840604252e-09,-0.0016894243180303953,0.540707040598934,0.5664569184792212
bible,1,bible,8.33870768280027,6.469914391557098,-2.7821682596312824e-09,-0.0750711774395836,12.80148417095476,-3.917512163031138,0.06621856655540516,2.5478903053863102,2.7162927772802363
bible,1,gov,0.39162832824384924,0.00010741571417256573,0.00015808758417860613,-5.166798295849031e-10,0.00020530120773196752,0.20124612278800313,4.0462086531346675e-06,0.3942696006661995,0.4049805051505978
bible,10,flores,1.971955563981983,-3.1841322637072676e-09,4.796982619141558e-05,0.5783797563172411,-1.3278817598255402e-05,-1.7260701098683275e-06,1.1831041611591398e-05,0.8059333374464313,0.8404327260988993
bible,10,bible,4.742984519798783,-0.0007277280017936257,0.0043358886533885746,-7.904994580611032,35.41443023943154,-9.000819744621607e-09,6.11405231681887,2.2903261530298304,2.7486606704090333
bible,10,gov,0.9393827679230738,-1.5839717777825365e-09,-3.8167708020605844e-05,-2.4538299956952152e-08,-0.00029781984761981657,0.35291658565196293,0.00029708423860224157,0.6933029962517377,0.7102665698343567
bible,25,flores,1.7784410788473475,-5.143369837821689e-10,-0.008185774478588984,0.6950879399556573,0.0017351314500731524,0.42773128177957664,-0.004227999092767779,0.8464846701991069,0.8589240713055725
bible,25,bible,7.224603135533016,-1.5994127869354035e-10,0.07163017265490806,-8.123159623494464,34.787163830156,-0.025337669710963125,11.767034899186541,2.3352362297277454,2.9048072738530086
bible,25,gov,1.3021138274367086,-5.338250764181452e-06,-6.981684897298697e-10,0.28433333562329005,4.144411042409196e-06,-1.0900537439585139e-06,-0.00012566415006894484,0.7866905477588387,0.8140974595997932
