train set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,12.319802464452524,-5.1793552035202276e-05,3.242728077317609e-05,-1.1207102127896607e-09,9.114123660060638e-05,-3.763566300690056e-05,0.00013423659631638872,14.753640544422831,14.821544166220761
bible,6.963195616774764,-6.548595044087912e-06,-3.59938776094151e-09,-0.0003496017314704766,-3.505627661267287e-05,-4.840153852091131e-05,1.4541671999970949e-05,12.291315921094842,12.218239185218476
