train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,flores,609.4732572310388,-2656.9725022699076,3866.0923060925998,-1869.046305677041,2.3100791245573045,2.417796027150047
1,bible,72.00059012717814,-132.80440213180717,-34.11990750418458,133.62107232078077,8.32188640619654,8.821072317230389
1,gov,26.010017784911483,-39.42184555475161,-5.172955493273123,40.57345327593238,9.594066725498077,10.074302668675331
10,flores,6.873429909765507,10.390819199866952,-3.363179930710494,-16.44614333461602,5.273778143058178,5.5166290506231945
10,bible,97.08938849795237,-172.48667010192193,-46.00629452397341,174.99922217090742,12.991075192490536,13.735921079209078
10,gov,56.731570549381175,-90.47544550030766,-20.52893645973956,100.34234176066363,16.861204607955482,17.71447812633776
25,flores,1.709766417975627,24.54840680522755,-0.07181079720351254,-30.720624316113437,6.352299843951311,6.618697886926715
25,bible,100.62055313015561,-175.18901144254397,-46.66548374938542,177.7990176997157,14.82148597331811,15.67225085500173
25,gov,61.938259097687705,-99.58271056091448,-22.268498020527137,112.10444430957806,18.71365015468028,19.70176686385898
50,flores,151.4805209607018,-257.37248852672604,-85.82430873604416,239.77465245121428,9.623015337482135e-06,3.75024578826157
50,bible,28.34038288324987,-47.20222958032932,-16.618173527112408,42.33013964307533,1.8815606894117704e-06,0.6812316823199615
50,gov,132.67859031835806,-220.40638804439072,-51.22343178031367,252.66511495711512,4.373096265551014e-05,3.468031269761285
