train set,c0,c1,c2,rmse,kfold rmse
gov,4.373029091192099,-1.9508646113240582,-6.742100245272043e-09,14.857936232740574,14.942638754653709
bible,2.6833821692630435,-1.9278912067789957,-7.946071547770284e-09,12.220206253444154,12.159207665658066
