train set 1,train set 1 size,train set 2,test set,language to,c0,c1,rmse,kfold rmse
cc_align,25,gov,flores,ka,5.510478680307145,3.127535305939346,0.28278825955539366,0.49891034546936974
cc_align,25,gov,flores,gu,10.60492847784527,3.2029955168661055,0.524547991346106,0.9254359427410584
cc_align,25,gov,flores,hi,9.42203379956382,2.746796946631873,0.29731807976703295,0.2983569709048858
cc_align,25,gov,flores,si,6.4197286590992295,1.899731368986028,0.18174323358723465,0.21572466601597484
cc_align,25,gov,flores,ta,4.304245899797209,2.0865055326804445,0.34199960189079526,0.47687910472697675
cc_align,25,gov,bible,ka,0.6176090741306614,0.44321110170139094,0.04507330753818501,0.07952076664615627
cc_align,25,gov,bible,gu,2.563860068878491,0.635415127296783,0.0925060699442455,0.1632042128851413
cc_align,25,gov,bible,hi,1.6007653070717556,0.6781098928773349,0.30437007859571047,0.4076460452374324
cc_align,25,gov,bible,si,0.6811122291606412,0.4426308578072759,0.06926573305273233,0.09634257732333404
cc_align,25,gov,bible,ta,0.8589592334204563,0.7064371043360441,0.0949860467802578,0.13363657233205736
cc_align,25,gov,gov,ka,17.836878589065396,5.268418030050267,0.606329476882019,1.069719263646491
cc_align,25,gov,gov,gu,24.386728542381668,4.3901088368349015,0.22199588787967292,0.39165715468159984
cc_align,25,gov,gov,hi,22.1438132163079,4.062629188368908,0.8208774986759213,1.090984791906137
cc_align,25,gov,gov,si,26.549149766977308,6.2334765604511535,0.8200225527710883,1.0403224068663435
cc_align,25,gov,gov,ta,22.781664316209376,4.84161982005389,0.5717838771622107,0.7447681796002574
cc_align,25,bible,flores,ka,0.93548151516797,0.4516115375321016,0.09082074503862012,0.16023087154217883
cc_align,25,bible,flores,gu,2.740437430707678,0.7024749007964753,0.10350622434602992,0.18261128090325088
cc_align,25,bible,flores,hi,2.3380911568308833,0.3596378857129284,0.09750054967344993,0.17201574462548883
cc_align,25,bible,flores,si,1.2407007987323169,0.26766423317489607,0.10418035430828014,0.18380061707049677
cc_align,25,bible,flores,ta,1.381864192543966,0.426410230523841,0.04642156746268525,0.081899440318405
cc_align,25,bible,bible,ka,14.448836612560065,4.356363383370358,0.13096106783527195,0.23104860045978515
cc_align,25,bible,bible,gu,16.828881263628457,3.570315260922296,0.18204005004603563,0.3211649040894423
cc_align,25,bible,bible,hi,19.159275180257588,3.988468774589079,0.10424184929595248,0.183909109686436
cc_align,25,bible,bible,si,22.773680335408173,4.849977096047986,0.18859686470552353,0.3327327912149098
cc_align,25,bible,bible,ta,17.769318695913455,4.2727901660841265,0.07853382570000711,0.13855362373467472
cc_align,25,bible,gov,ka,0.5667330764205648,0.10863080973796674,0.08515213534716523,0.15023000372024747
cc_align,25,bible,gov,gu,1.617477391015027,0.6606164349716172,0.044736242557059956,0.0789260992830027
cc_align,25,bible,gov,hi,1.5870834756513865,0.24246292666890093,0.03306195819302507,0.05832969480256066
cc_align,25,bible,gov,si,0.7100435161634377,0.2843213914021466,0.025708023595944932,0.0453554854185573
cc_align,25,bible,gov,ta,0.479386234158798,0.3009785492335536,0.052764307116390234,0.09308964545600784
cc_align,100,gov,flores,ka,7.246817840234474,2.8180126076706515,0.11983792345814416,0.2114245446168686
cc_align,100,gov,flores,gu,11.458545823831958,3.22819681418909,0.6617903038474107,1.1675662548363814
cc_align,100,gov,flores,hi,10.749857926680185,2.872805902215033,0.31888795652846647,0.35783369101591694
cc_align,100,gov,flores,si,7.576421780025869,1.9604965713290774,0.42037219739786225,0.4971040256385499
cc_align,100,gov,flores,ta,5.657719572459713,2.2440406837674263,0.12441171762082666,0.17667127950757627
cc_align,100,gov,bible,ka,0.8946490334718269,0.40135263682258093,0.013696674250785315,0.02416441434608691
cc_align,100,gov,bible,gu,2.835349832642531,0.6690168701467805,0.09048368005749471,0.15963620353193034
cc_align,100,gov,bible,hi,1.8173777514776428,0.777071234095299,0.17672222929748735,0.21397847645465232
cc_align,100,gov,bible,si,1.0238233995842192,0.6577322283647173,0.154447738819249,0.17351953169187226
cc_align,100,gov,bible,ta,1.0997204219733219,0.869362621382336,0.1581189827963032,0.22067024824512294
cc_align,100,gov,gov,ka,20.31986378449729,4.498883360044797,0.3068109582457154,0.5412924900518082
cc_align,100,gov,gov,gu,25.045565166311036,4.231362831073428,0.3725978096506413,0.6573572121636004
cc_align,100,gov,gov,hi,23.836192125066667,3.620638116444855,0.8254753317171996,1.1269222924167606
cc_align,100,gov,gov,si,27.984015226692996,5.964279959522312,0.7280951908954796,0.9603340989793734
cc_align,100,gov,gov,ta,24.526426230403445,4.472822068866035,0.6647195278685023,0.9173292843727117
cc_align,100,bible,flores,ka,1.2533539572845536,0.4600119719182395,0.13656818253905498,0.24094097568773595
cc_align,100,bible,flores,gu,2.9224333074371915,0.9114797961540894,0.0574217218644698,0.1013065087237126
cc_align,100,bible,flores,hi,2.53548151527497,0.4516115376382136,0.09082074503862012,0.16023087183966625
cc_align,100,bible,flores,si,1.3303939154283408,0.41815350836687937,0.07779820075008484,0.1372557946031198
cc_align,100,bible,flores,ta,1.6251746323519507,0.6021008122525922,0.06443859148042495,0.11368604746863316
cc_align,100,bible,bible,ka,15.59535097803977,4.113756734356212,0.26786631535545324,0.4725842442812509
cc_align,100,bible,bible,gu,17.064626144641498,3.587116138412129,0.09054517504516624,0.15974469602589503
cc_align,100,bible,bible,hi,19.687785410039904,3.9548670366254246,0.28723159929769415,0.5067495258135367
cc_align,100,bible,bible,si,23.701859655582428,4.707888258881822,0.2607264557641523,0.4599877177461672
cc_align,100,bible,bible,ta,18.307673217084233,4.197617386689893,0.019640853935692027,0.03465145702221341
cc_align,100,bible,gov,ka,0.7973903584252043,0.09197365190655961,0.0066798046348300645,0.011784872845682083
cc_align,100,bible,gov,gu,2.0225649907605225,0.6940744633594104,0.0577587868455946,0.10190117634575206
cc_align,100,bible,gov,hi,1.8228283574562516,0.2592637980628095,0.058432916807845015,0.10309051330845379
cc_align,100,bible,gov,si,0.8380911565932817,0.35963788547729897,0.09750054967345016,0.17201574344744086
