,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,12.350031698267316,13.568907523135517,2.220446049250313e-16,0.008466162065324646,0.06326368802491406
1,poly2,,12.350031698267317,13.568907523135518,0.0,0.008466162065361374,0.06326368802416552
2,poly3,,12.350031698267316,13.568907523135517,0.0,0.00846616206536783,0.06326368802417641
3,exp,,12.350031698267319,13.56890752313552,0.0,0.008466162065370566,0.06326368802420168
4,log,,12.350031698267317,13.568907523135518,0.0,0.008466162065344882,0.06326368802413708
5,power,,12.350031698267316,13.568907523135517,-2.220446049250313e-16,0.00846616130072462,0.0632636867065967
6,mult,,12.350031698267316,13.568907523135517,-2.220446049250313e-16,0.00846616130072462,0.0632636867065967
7,hybrid_mult,,12.350031698267319,13.56890752313552,2.220446049250313e-16,0.00846616203790975,0.06326368797686288
8,am,,12.350031698267316,13.568907523135517,2.220446049250313e-16,0.008466162065324646,0.06326368802491406
9,gm,,12.350031698267316,13.568907523135517,2.220446049250313e-16,0.008466162065324646,0.06326368802491406
10,hm,,12.350031698267316,13.568907523135517,2.220446049250313e-16,0.008466162065324646,0.06326368802491406
