train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,13.202076474346727,0.0706185718443431,-11.747696066107748,2.11050941717886,2.1370416874140883
1,bible,20.655479907343995,1.8050491027080366,-15.160526914727171,8.297831041905237,8.421478949238441
1,gov,23.053552263712326,1.989612038676065,-16.96815773964735,9.510665066126045,9.65268133483839
10,flores,17.984454328200865,1.3022759602281848,-13.71173071023556,5.256828892022307,5.3329349836632165
10,bible,25.04549449970318,3.7224809279056363,-15.46797528478341,13.017270579247159,13.21842979699172
10,gov,25.661188839034736,4.8907462189406505,-13.801910758734929,16.914072050627677,17.17714617380357
25,flores,20.094439059363918,1.6691233116070512,-14.913561122236258,6.341753175056147,6.433632511450076
25,bible,26.711026488889793,4.466654513948002,-15.552687755244378,14.849918630530182,15.08138063030555
25,gov,28.774249799563883,5.412706866461442,-15.611961244562485,18.786610923740675,19.077927757228565
50,flores,32.88618036210105,2.7625168345196847,-24.348697685919564,2.7352635461079147,4.034714006422973
50,bible,5.908858198747529,0.3479667372335642,-4.656825172879141,0.7756717518813587,1.0645399187906248
50,gov,47.00887211834325,12.447902118114378,-18.656768989020332,5.225578117938407,7.0782781751211585
