,vars,splits,model,trial,mean,min,25%,50%,75%,max
0,size,none,linear,none:size:linear,13.680666486150916,13.680666486150916,13.680666486150916,13.680666486150916,13.680666486150916,13.680666486150916
1,size,none,poly2,none:size:poly2,13.739759478963116,13.739759478963116,13.739759478963116,13.739759478963116,13.739759478963116,13.739759478963116
2,size,none,poly3,none:size:poly3,13.417990984504309,13.417990984504309,13.417990984504309,13.417990984504309,13.417990984504309,13.417990984504309
3,size,none,exp,none:size:exp,13.542845213923728,13.542845213923728,13.542845213923728,13.542845213923728,13.542845213923728,13.542845213923728
4,size,none,log,none:size:log,13.437098161191248,13.437098161191248,13.437098161191248,13.437098161191248,13.437098161191248,13.437098161191248
5,size,none,power,none:size:power,13.414497564846435,13.414497564846435,13.414497564846435,13.414497564846435,13.414497564846435,13.414497564846435
6,size,none,hybrid_mult,none:size:hybrid_mult,13.587115363011623,13.587115363011623,13.587115363011623,13.587115363011623,13.587115363011623,13.587115363011623
7,size,train,linear,train:size:linear,13.415759055129094,12.320766659255431,12.868262857192263,13.415759055129094,13.963255253065926,14.510751451002758
8,size,train,poly2,train:size:poly2,13.265140972844051,12.099872578321683,12.682506775582867,13.265140972844051,13.847775170105237,14.43040936736642
9,size,train,poly3,train:size:poly3,13.206197948655275,12.30125921309061,12.753728580872941,13.206197948655275,13.658667316437608,14.11113668421994
10,size,train,exp,train:size:exp,13.262000202162827,12.16521207003369,12.713606136098258,13.262000202162827,13.810394268227395,14.358788334291964
11,size,train,log,train:size:log,13.073096753795163,12.061572070825752,12.567334412310457,13.073096753795163,13.578859095279867,14.084621436764571
12,size,train,power,train:size:power,13.08986414299566,12.057331475027237,12.57359780901145,13.08986414299566,13.606130476979871,14.122396810964084
13,size,train,hybrid_mult,train:size:hybrid_mult,13.285606665484114,12.244369912601035,12.764988289042574,13.285606665484114,13.806225041925654,14.326843418367192
14,size,test,linear,test:size:linear,11.593331674931989,5.567046113412068,9.674031367203188,13.781016620994308,14.606474455691949,15.43193229038959
15,size,test,poly2,test:size:poly2,11.244660272301582,5.3185033950077,9.09595729054957,12.87341118609144,14.207738710948522,15.542066235805605
16,size,test,poly3,test:size:poly3,11.260723917230615,5.0371652627283,9.059996294670965,13.082827326613629,14.372503244481774,15.662179162349918
17,size,test,exp,test:size:exp,11.414402865843995,5.430611026149642,9.510358662017639,13.590106297885637,14.40629878569117,15.222491273496704
18,size,test,log,test:size:log,11.552605940381339,5.298034337507688,9.331874039140564,13.36571374077344,14.679891741818164,15.994069742862886
19,size,test,power,test:size:power,11.42258354416692,5.14780711539501,9.300699332630646,13.453591549866283,14.559971758552877,15.666351967239471
