language to,c0,"c1,1","c1,2",rmse,loo rmse
ka,10.243082389691265,0.06612787636801137,-0.0005384547518660613,11.183294594779149,11.19033835270364
gu,15.305056654183172,-0.02625217948452356,0.000162607879076308,10.840603883604807,10.847686473369379
hi,15.773202923082724,-0.07752369751580909,0.0006690975691112761,11.777635120667401,11.780587372681715
si,17.010261870057054,-0.07878261821642989,0.0006690906873270797,16.00238665701669,16.007675574738144
ta,14.242720814974692,-0.06479372587619686,0.000582106086068109,12.864690017487597,12.869093360684937
