train set,train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,5.107641334314694,1.6380951305530205
gov,1,bible,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,3.0128830360805243,-0.3243043753270737,-1.5784559712480917e-09,-1.6392450190646053,4.1890960039544884,4.295082300057658
gov,10,flores,0.9784854628377331,-1.1100628467083185,-8.252858071526144e-09,-1.866638029065209,1.6797960784373944,1.7261168290097764
gov,10,bible,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,7.2018549754050385,-0.8191334057747597,-8.762719901982847e-09,-1.0815935052255456,6.780674687517098,7.135527711706391
gov,25,flores,0.9820867942991309,-1.330503738081287,-6.535184597314205e-09,-1.9252682822145057,1.5565159373622028,1.6457535719000238
gov,25,bible,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,8.245406492944628,-0.8226022441758916,-8.456785254741933e-09,-1.0474721442229638,7.663930743871713,7.919596934315603
gov,50,flores,1.0913733919535802,-2.1250154193387267,-2.0016516827691232e-08,-1.4507626694737052,0.7875276548512383,1.0086643492492346
gov,50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,1.0913577682212054,1.0655595731234262,-0.9206586482735396,-4.585265517574795,2.1160091375199395,4.533500007596168
bible,1,flores,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,2.8779860686179317,-0.8910721235188227,-2.6864462041622547e-10,-1.2269735895359002,4.433892106103727,4.48163144330293
bible,1,gov,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,5.430633142726497,-1.1361689539992768,-8.52427317895817e-09,-0.9353651774096293,6.10042279682927,6.140675648693938
bible,10,gov,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,6.467308880105594,-1.171042465516325,-9.692598641001236e-09,-0.879985865298289,6.683105128803432,6.89295152398258
bible,25,gov,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
