train set size,language to,c0,c1,rmse,kfold rmse
1,ka,-0.8699782617892382,-1.303381084097985,2.4555232701139063,2.5367877526563687
1,gu,2.770361667064014,-1.3253554508739562,5.728303340049412,5.838180444710096
1,hi,1.4878890750909652,-1.4492991491165719,4.423575706522383,4.547514699967056
1,si,-1.6831810415938642,-1.77829197735857,0.8056077220656612,0.8085362323431421
1,ta,-0.27288562479897965,-1.4589132922432215,3.985074203597621,4.139983645289634
10,ka,3.3783928078320344,-1.4624731307202,6.964594405305057,7.167824529775762
10,gu,6.507808649626635,-1.364730230710026,8.599458317431997,8.743561092436773
10,hi,4.925139131431511,-1.4891334288669438,6.953025012800208,7.131717664426897
10,si,0.547040566893677,-1.655233114453684,2.5780608814517847,2.590286838148649
10,ta,0.20844513753839705,-1.5128803440939194,3.6451801293739896,3.8055271321369886
25,ka,3.5912726103488564,-1.4349468549490907,7.601973254005864,7.743550480798418
25,gu,8.063537508304059,-1.370179567908311,9.700204008656986,9.851908941901979
25,hi,4.8311544666971455,-1.4674593393652644,7.440707100908337,7.561580869334574
25,si,0.9097386684959284,-1.669350799362505,3.6282738668356904,3.708811922292319
25,ta,0.479826251250859,-1.495736068721913,3.581352950259605,3.6907259075092784
50,hi,5.85906085242127,-1.768473097341135,4.861111834145747,4.872088090718393
50,si,3.4107957920606977,-1.6297413629497595,3.5603288852937953,3.5609604340528707
50,ta,3.1251521858401277,-1.544328450348246,3.176867848101439,3.177637638988331
