,train set 1,train set 1 size,train set 2,train set 2 size,test set,sp-BLEU,linear,poly2,poly3,exp,log,power,mult,hybrid_mult,am,gm,hm
0,cc_align,25,gov,1,flores,10.4,14.11751753191886,15.710904346150507,13.958342898362224,12.608397970755076,11.646909849528036,11.961310026821348,11.987020937035355,11.267623313247832,15.202869191012255,12.741900614824878,11.786385342953636
1,cc_align,25,gov,1,bible,2.6,1.2339203573456743,1.0161678218409733,1.89301274622089,5.403857304304231,5.737965539683394,9.495863318826936,9.702255946219333,9.054754564001822,-1.579696552655669,1.7553934164417981,3.2697915028137956
2,cc_align,25,gov,1,gov,24.3,23.887894176224133,24.691914874587333,27.871467305843282,22.186810730377378,19.950954950522807,17.638306921456675,17.649259181005977,15.89654021090794,20.71925833301676,17.598484131154674,16.461404512748565
3,cc_align,25,gov,10,flores,18.7,16.801508196787545,18.663587098124076,18.239085482391843,14.82178646918782,13.381814158806804,12.935714455930933,12.944685992981487,12.043687078131924,17.322878292685914,14.155998959913443,12.902912919857535
4,cc_align,25,gov,10,bible,3.9,2.043379214244908,2.373992202175259,2.123961678460592,5.673977301814812,6.094565267634271,9.649956622087986,9.856752444004792,9.139047725276493,-0.9403276582259679,2.1815661734922855,3.6060593826556016
5,cc_align,25,gov,10,gov,34.8,26.562898392835724,26.11338909140384,29.222214154067316,26.067557791147397,23.154136724870515,20.38230029024126,20.340282730083473,18.82688832781332,22.83216929074151,19.65923217409128,18.498714964853793
6,cc_align,25,gov,25,flores,20.4,17.153990740762765,19.023014584872193,18.79973485823279,15.139972988693728,13.625196518045605,13.078615545233493,13.085017094614122,12.161742532770859,17.601294388237093,14.34796443682864,13.059225693733993
7,cc_align,25,gov,25,bible,4.7,2.199721971063134,2.6322505027162038,2.1858359483062557,5.727684920928115,6.164420802153705,9.680434116347271,9.887304236371136,9.15585349464327,-0.8168368906261421,2.2644633054749335,3.6719128483426218
8,cc_align,25,gov,25,gov,38.3,26.83147946382415,26.23517579365354,29.269788201578706,26.492880010789726,23.51668480168379,20.718614772755103,20.6696230261789,19.210161802654618,23.044313961170374,19.879014538593168,18.71866977331534
9,cc_align,100,gov,1,flores,11.2,14.16067068263131,15.744639119500153,13.999887684742367,12.654480771936747,11.661277980092603,11.961310026821332,11.983758965674404,11.281896379897162,15.334599706841054,12.829136108137021,11.854784170290582
10,cc_align,100,gov,1,bible,2.8,1.2317476639045495,1.0172575280146603,1.8928677726907068,5.402864790765344,5.737473432062519,9.495863318967242,9.702346386635888,9.054481258461148,-1.5863289774731442,1.7511031607653678,3.2665057444718038
11,cc_align,100,gov,1,gov,24.9,23.911879079781933,24.70038893566525,27.888537140799563,22.231845427600835,19.95785767606134,17.63830692145585,17.646951656051776,15.909700276591096,20.792475321014386,17.632395534029456,16.477941610833394
12,cc_align,100,gov,10,flores,19.8,16.84466134749999,18.697321871473722,18.280630268771972,14.875959048495757,13.396182289371367,12.935714455930919,12.941163416754463,12.060163139454641,17.454608808514706,14.238368531713157,12.96377315472877
13,cc_align,100,gov,10,bible,4.5,2.041206520803783,2.375081908348946,2.123816704930409,5.672935175982419,6.094073160013396,9.649956622228292,9.85684432457379,9.138766236379865,-0.9469600830434359,2.177326233676901,3.6028516037794738
14,cc_align,100,gov,10,gov,35.3,26.586883296393523,26.121863152481755,29.239283989023598,26.120469612803316,23.161039450409053,20.382300290240437,20.33762337143879,18.844041727750586,22.905386278739137,19.68973385114166,18.511061370425026
15,cc_align,100,gov,25,flores,21.2,17.19714389147521,19.05674935822184,18.841279644612918,15.19530851718451,13.639564648610172,13.078615545233479,13.08145633074757,12.178553715445071,17.733024904065893,14.429673454186002,13.119065533269751
16,cc_align,100,gov,25,bible,4.9,2.1975492776220094,2.6333402088898907,2.1856909747760724,5.726632930745846,6.16392869453283,9.680434116487577,9.887396401731305,9.155570374207493,-0.8234693154436243,2.2602331528655597,3.668720231010525
17,cc_align,100,gov,25,gov,38.3,26.85546436738195,26.243649854731455,29.286858036534987,26.546655149738815,23.523587527222325,20.71861477275428,20.6669206084492,19.227837508828106,23.117530949168,19.909152562451418,18.730600262740428
18,cc_align,25,bible,1,flores,2.7,7.30397796329261,6.501689559088284,5.179916792200716,8.36272920358305,7.97152185741661,10.132699198159845,10.185804163314891,9.949285352033867,9.821044995730269,9.46410678508553,9.434089930098192
