,train set 1,train set 1 size,train set 2,train set 2 size,test set,sp-BLEU,linear,poly2,poly3,exp,log,power,mult,hybrid_mult,am,gm,hm
0,cc_align,25,gov,1,flores,6.3,9.241054420199724,5.020046878068655,5.988470547524955,6.081202582492868,6.292725790287371,6.597901489761943,6.612015365160033,6.445833743203701,8.934213395840615,6.594634726728373,6.003091551288101
1,cc_align,25,gov,1,bible,0.7,-7.546139292345373,1.0201317899498292,-0.5650598323361038,2.3401915339734183,-2.162558356146423,4.7842685431602625,4.41282596255151,4.9392506473803985,-10.603759642070571,-7.263227243293294,-4.804286628668464
2,cc_align,25,gov,1,gov,26.0,35.69198159890462,33.13405504181573,28.25372208568909,31.037550655796334,30.77328029532588,22.102775119889326,23.542220023101514,21.392720813639826,33.143465939576295,25.906285016023627,22.628672621749903
3,cc_align,25,gov,10,flores,11.1,12.912994005847175,7.032466343757207,6.792456585675112,7.685250052852373,8.635286055846922,7.328654213543054,7.484528770609484,7.093406628442425,11.884345597967773,8.707651217561306,7.667132390455876
4,cc_align,25,gov,10,bible,1.7,-6.190260317604356,0.7380101324010013,0.38345280707848417,2.5514844872963707,-1.5411872942285925,4.902587184716003,4.560322202645455,5.037981169867605,-9.514411047881936,-6.519014259215808,-4.246229522284828
5,cc_align,25,gov,10,gov,42.2,41.64335707447266,44.205492923132525,44.07504574650889,45.35956820757084,42.81865707104434,43.80631892226416,44.52898907782184,44.37568875921631,37.92495649188541,31.58182343186366,28.3761285382643
6,cc_align,25,gov,25,flores,12.5,13.549907347153962,7.450263792708228,6.957473909379033,8.0037374950539,9.065321614232246,7.474418602347204,7.656784381765116,7.22360241363746,12.39605841739921,9.084738352720379,7.9723252808168965
7,cc_align,25,gov,25,bible,2.0,-5.9339599749223595,0.6950299569456604,0.5470840688443985,2.5935185995193515,-1.4219459478144252,4.925805593191673,4.5891855946683355,5.057397185564003,-9.308492656054938,-6.377271110533833,-4.139075316959008
8,cc_align,25,gov,25,gov,46.7,42.31089818823817,45.55799254932607,46.24626503775355,47.331663261351025,44.62657122386358,48.653673807241404,48.99904342381109,49.69659749249995,38.461276463940784,32.32002032214251,29.120801267345854
9,cc_align,25,gov,50,flores,13.7,13.791383530787364,7.613977925896975,7.022986948480735,8.127908767615466,9.230348582197571,7.531370444624806,7.723935465905735,7.274559184718337,12.590066692526669,9.228573542187583,8.08939214606297
10,cc_align,25,gov,50,bible,2.5,-5.8731813257860495,0.6853203810577071,0.5851892256198852,2.603587656807985,-1.3935842753005154,4.931352812197783,4.596077631170613,5.0620379445887975,-9.259661501337774,-6.343607895771221,-4.113586000986203
11,cc_align,25,gov,50,gov,50.1,42.5044437832757,45.954307828286304,46.89188913096604,47.919320332109564,45.176596122402145,50.23668817823468,50.44601199399983,51.44604582802769,38.61677605187842,32.53927521009258,29.34108737176728
