model,multi factor,multi variable,overall linear,sliced linear
linear,64.73%,22.39%,22.39%,100.00%
poly2,330.42%,114.28%,114.28%,510.48%
poly3,7317.82%,2530.83%,2530.83%,11305.58%
exp,134.21%,46.42%,46.42%,207.34%
log,11.69%,4.04%,4.04%,18.06%
power,22.71%,7.85%,7.85%,35.08%
hmult,58.58%,20.26%,20.26%,90.50%
scaling,14.98%,5.18%,5.18%,23.14%
