,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[-1.0],0.04082482904639054,[1.0],1.6294970892554472,[0.5],5.5113519212621815
kfold,[-1.0],0.19283201034224293,[-1.0],1.8988469833587023,[-1.0],5.613075779097444
