train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,2.810030415349584,1.1060174003623477e-07,8.250454074528598e-09,2.3758991879723736,2.3898848923282414
1,bible,5.870189157985829,5.355967832921956,5.488880509459502e-08,8.384641857541482,8.448234700701004
1,gov,2.9975121943621062e-06,17.58198653723173,1.1707074491710798e-07,9.54389804038508,9.642715252222171
10,flores,7.010244863950696,0.00023341214848289921,-6.711587779234644e-09,5.395078646380162,5.427383492840024
10,bible,11.880569045218417,5.19125560000605,2.062552567072734e-09,13.069478138573547,13.182850758321147
10,gov,8.152718578746374,17.548125542383477,4.2688286967792986e-07,16.90167157329571,17.05478966272126
25,flores,8.399810853912623,-1.62463394562468e-06,-5.143460181842059e-09,6.475107641083554,6.515434965547262
25,bible,13.785744530906786,5.880167154239327,6.825071243803861e-08,14.892022010206736,15.026891087792553
25,gov,7.378224726120678,22.508414510861382,1.7876566213608745e-06,18.766484971834263,18.948588255918544
50,flores,27.537309803189665,-8.63422397589763e-09,-39.9962731162952,1.439989977233542,2.2502297351617018
50,bible,2.0935496485586897,-0.03128392312644602,-6.927822988542746e-09,0.8763018315066363,0.9732950720004151
50,gov,2.3085116176523217e-08,74.31974641496136,0.527359629143867,3.5808014995883823,5.118194321430476
