train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3","c6,1","c6,2","c6,3",rmse,kfold rmse
1,flores,9.389221812244092,2.9766461768390196,0.45751288705044646,-0.38965645622449496,2.111108962952163,-0.17089731963938867,-0.667802942868448,2.7714481835184963,0.9050902818106817,0.3723914403993569,0.531796986433244,-3.761463409575588,-5.492549716056723,3.130342784976755,-2.5026303249570465,-7.5722360892508505,-3.2944035435023515,-3.4328322628832844,-2.007609039703428,1.933649399573837,2.1131216392636643
1,bible,5.706606289203388,4.153814994887371,2.8553675338543845,1.8965737143203876,5.290763943679507,3.8385116800665435,2.5018082900588623,2.5360777427824392,1.3662339630167741,0.8060801043949497,0.26377922073559507,-0.9996136309146632,-0.7129789798567672,0.10639308905541298,-4.933561707307905,-9.469999292320045,14.38729833735953,9.386931116305611,4.84407666918722,8.257481456932306,9.040748254653357
1,gov,6.941049496086995,5.32851974467218,3.7790531331915953,2.5583297088104477,5.543274569096399,3.792743835100815,2.39842804082058,6.638404461283809,5.0559198852719645,3.4446859543648904,-0.5822287710803042,-2.840834332995958,-2.9235547794013943,0.36895395695984184,-5.546189534896243,-10.868620317152384,13.026109432046193,8.285586539227154,4.237094179651263,9.419633751524874,10.31469756239525
10,flores,19.822371601140425,3.612781081746841,-1.9725008780965665,-3.253664627400484,0.3944682124129813,-4.366481983272587,-4.371568840864869,0.006897042680496891,-3.8449276246073993,-3.4768267653301836,5.1453465294006095,-3.875552447041871,-8.742375021669751,9.54818668094166,0.30175035894183505,-8.020598164870337,-23.913178610865334,-19.117713523606373,-10.512901958209195,4.971619454480695,5.441166690275958
10,bible,8.410342527275985,4.640526321422631,2.580220559528964,1.4459035872428248,5.767801429060458,3.6536030119476948,2.2044912035521276,0.28085579377845743,-1.3765615899668653,-1.3134521378585327,2.595716501394098,0.8185406168228854,0.638946022545766,1.8985642052047864,-3.9624603347772323,-9.237649684446364,12.836647118368326,7.979373804554128,4.0448149338379435,12.975669540282379,14.208344205881094
10,gov,7.771156544470598,4.78696471215437,2.9396190092957806,1.7971932489473044,4.28906019705523,2.347908695657613,1.2748455951067017,0.6173339255144378,-1.1206747549493963,-1.219245393732645,5.179924016915149,4.08162362438747,3.565809096048923,2.3677895166551703,-2.4946665842773537,-6.865350232990493,5.910617642610732,3.206358380056382,1.5339429572935925,16.84818982097522,18.452368961075777
25,flores,22.35322824070764,4.060390636111452,-2.239906615633189,-3.682077814251473,0.25979907345725356,-5.106685824744021,-5.065311153799058,0.06913414197285186,-4.292871649755443,-3.8988424974360716,6.033134948009381,-4.134264970369571,-9.690480122686619,10.920436866800586,0.6314141208670367,-8.629212251383763,-27.878387112450433,-22.197456025824575,-12.192857438602749,6.039412223130448,6.610270718046638
25,bible,8.78548409590127,5.084273442024714,2.961872579648857,1.7253134475412846,6.603917827278632,4.391659047843425,2.7272870131659115,0.8863866874050351,-0.8404428431485096,-0.9239910350270865,2.183449299272477,0.31491137076668596,0.28876028701735085,1.9692830091541569,-4.160742640321221,-9.682547752785219,15.922180714412004,10.09141405013085,5.152188780531633,14.807751464224749,16.215453026893776
25,gov,8.989791554511923,5.168666992128465,2.989388269663093,1.7359859744392991,4.006970026036698,1.772154472778458,0.7777304238201834,-0.329840695800003,-2.3659969633208737,-2.2225200071324336,7.16607730016081,5.99110679182193,5.120832907585596,3.0573705746214146,-2.282324589297112,-7.087049882676143,2.564722964000813,0.7164301579803891,0.193574324409017,18.69966809957811,20.479440715951927
50,flores,15.82028788393605,0.6926316795346291,-3.9841906674117866,-4.5903920082669805,5.071895322629544,1.2045714396746736,-0.022303408828171608,-7.878489304594856,-10.070304925765129,-7.562081147287216,-0.6495657268052154,-7.722831897225341,-9.963579839479095,8.910070292544823,2.6908562876688493,-2.906411353991759,6.328116576613839,2.5312416984129045,1.0124993101861692,1.3345744592212364e-06,3.527217792078776
50,bible,3.244108621050862,-0.07884718454794895,-1.0599650793944997,-1.1423074143069618,0.9743756723729884,0.18354741636333016,-0.05058552235679926,-1.621687732487741,-2.03676849797299,-1.5097794271297698,-0.6180618281825164,-2.2557271374097394,-2.7463054397486566,1.9202271131852962,0.7287357528126263,-0.3436079011279916,1.2976438098196725,0.5190572800839177,0.2076229430539988,5.187106428859004e-06,0.8231412289903508
50,gov,11.665670705431966,8.225743471640929,5.548612581718133,3.635738171806447,6.063099427974535,3.1343498404953043,1.6129038770151878,-3.588066165872421,-6.443420221148947,-5.544009218949214,15.55945343179313,16.443456095682908,15.718943477890809,4.599128600613502,-1.760791872869402,-7.484716389086081,4.666277888967638,1.8665114456980594,0.7465989561641025,4.954750808351121e-07,3.7984268971347466
