model,none,train,test,train+test
linear,13.648472706049148,13.203341583364342,11.976586660686605,4.010699429605694
poly2,13.648472724163748,13.203341947521581,11.976586885856397,4.010699557383221
poly3,13.648472666192328,13.203341698986542,11.97658701504585,4.0106995718667
exp,13.648471586522977,13.203340793556256,11.9765868920341,4.0106982767123185
log,13.64847263049086,13.203341755392504,11.976586719815929,4.01069958860587
power,13.648472673462392,13.203341675846218,11.97658684252687,4.010699521994085
hmult,13.64847267052799,13.203341707636923,11.975927025457265,4.010699513560208
