train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2","c5,1","c5,2","c6,1","c6,2",rmse,kfold rmse
1,flores,2.425512297399167,0.457403252245378,0.0032700028064334553,0.0035696195867023542,-0.0023191260768656175,0.7524683365919355,-1.6498126473564082e-09,0.0016995030626269442,0.0014644413072558526,-0.004913634207506685,-0.2472758902361035,-0.0016560088307635845,-0.0008221682456845568,2.3566944717502523,2.3493722466628055
1,bible,5.637451577088308,2.3554343830655164,4.937201874522071e-06,2.301823950084623e-05,-5.148374283085983e-07,-1.5824908188535257e-06,-4.081122029847944e-06,3.4871268491422818,2.1068197634915724,-9.897978208228027e-08,-1.6302849771072936,1.8558994131916916e-06,-4.36746630613992e-07,8.354530196810966,8.52203989173234
1,gov,6.678396647073358,4.310121749815824,1.1345677381942276,0.004277651644893559,-0.008763146792160012,4.386724043122022,0.32024293510654417,2.530271620103225,-1.5227440561724215e-08,0.020386729374384523,-3.7326690949219725,-0.06440680685351,0.025346491979539865,9.511356446979041,9.746447365247207
10,flores,10.636866213753297,0.005088583924782736,0.0055710866146503986,0.028611235015875452,-0.009229753440340747,0.15366420023423635,0.15639008487856132,0.005817227694927605,-3.3951101949167812,-2.3758683405802135e-09,-2.207496988844308,-0.24251239849557285,-0.6309421144676273,5.288324245977396,5.318627296392677
10,bible,10.540671390907923,0.00017226329715077014,0.00012249150666238754,1.3894279761887416e-05,-7.1152693247283005e-06,1.6983723528843907e-06,-8.045270142679324e-05,5.161824869753699,2.21759932220309,2.8506660413022067e-05,-0.3436020881622391,-7.43651100632614e-07,1.4436138537420477e-05,13.05201523355851,13.45773671975457
10,gov,7.771318973129957,3.5936914735870786,1.2102149303757332e-08,-7.868710925086354e-05,4.859301450443035e-05,-2.542468996708415e-06,7.476048231592473e-05,7.56013621652259,6.563380321800331,1.2980800012544053e-05,-0.00170891470690694,0.00044148771178650697,6.074157773088961e-07,16.879300802664623,17.511828374639894
25,flores,13.64061124959458,6.034827725391723e-06,2.6475108852326127e-06,-1.9216997012967926e-05,1.4465308985716671e-05,0.1066153044129729,0.0018964023255143418,8.119221994098339e-07,-4.878170104177918,-8.399714215042674e-07,-3.101213549008606,-0.6943931750000508,-1.1621073858632136e-05,6.344859756212996,6.405068115614452
25,bible,12.332225319897756,6.651440316252249e-08,0.004077274904556811,0.0010464988013582817,0.08005901408808606,-0.0005316509336640074,-0.018894273807371825,5.578818046943103,2.0166285594271174,-0.016860053755958924,-0.0066152758346682255,0.0013078038318851647,0.007040835472537083,14.879471283924836,15.356878070078603
25,gov,8.541162426921517,3.741997979169165,1.624082435048872e-05,3.266700462402353e-06,1.2237417795123338e-05,-8.514190089942357e-05,6.127898380548458e-06,9.246343269170932,8.508512508983205,-2.822254354892718e-06,-1.0242722639083421,3.188822934333443e-05,3.779408331162863e-06,18.729553811660356,19.499508464876698
50,flores,26.22111152328014,1.8243366137556162e-07,8.566956642079585e-07,-3.809302077363621e-06,-9.310681105845938e-07,-4.3137203657322845,-10.607875780460597,-0.0010420917830378912,-16.43742834934425,1.7275678959807542e-05,-5.150180094538518e-06,-7.693101540001072e-07,3.7129612956879027e-06,0.8559289943807444,3.6368571444184887
50,bible,2.3402844404946546,-6.750075117567708e-10,-1.7000402966452966e-07,-8.330119537669591e-09,2.825518779922643e-09,-2.622112885635322e-06,-1.3758312619319871e-07,-6.235016598931135e-05,-0.4510738776828063,5.887506669777533e-08,-7.378081259505476e-08,-3.323621316037436e-08,3.7535553862594967e-08,0.8293939375731398,0.8976708546088755
50,gov,12.646056002064608,1.180741129770948e-06,-6.685137482574484e-08,5.902841685957893e-07,1.6081246848682234e-07,-3.2338229814847814,-8.969926300759548,26.33363238617275,30.063431230713107,3.8590808402664536e-07,-8.450249700879524e-07,3.195337280421188e-07,6.577043158828757e-07,0.7612036195717614,3.4917098719858295
