train set,train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,flores,4.500650166368819,-0.03281034585850205,-1.773513015603457e-08,2.2217797392482272,2.2283418889395143
gov,1,bible,0.7698445938242242,9.07455455620224e-09,-8.243760640082753e-09,0.7950569569150862,0.8189564690037996
gov,1,gov,19.14766630527015,-0.1431648508438592,-2.3690549633489346e-08,3.7428335605330583,3.7299229337664217
gov,10,flores,17.99922062668312,-16.335327665287405,-4.981552054351488e-08,3.025462925065055,3.141752464895513
gov,10,bible,1.9899181994148107,-6.843070275521705e-08,-8.803507871863909e-09,1.2573417131532358,1.2958452577637227
gov,10,gov,34.688691892465734,6.3073133072908225e-09,-2.2516162857704223e-05,3.7565257443031657,3.8697672325841985
gov,25,flores,24.5564978892583,-27.174997856050428,-2.1263208447763096e-08,3.197613082189054,3.366083221816055
gov,25,bible,2.449691378968608,-6.770067509345511e-09,-1.2405696003364483e-06,1.4193417119628204,1.4632626136695002
gov,25,gov,38.43140003044046,6.011170113501957e-09,0.688037142180204,4.455467316025677,4.588727433519887
gov,50,flores,14.152012713092393,2.8445508745568804e-08,5.741522620187788e-07,3.4189134877125458,3.8079256458361694
gov,50,bible,2.100157592227505,-1.4226574471428226e-09,-0.05366808642777213,0.8762771403829612,0.9733319238651088
gov,50,gov,42.27276429998881,2.6906476118682356e-06,-6.863239035006463e-10,5.337217505373097,5.950846223425967
bible,1,flores,1.0699971243946422,-9.720569756314969e-09,9.26367917235391e-08,0.5514528887638901,0.5678117754400819
bible,1,bible,16.96986104158861,-3.5651133498528894e-09,4.61484055386395e-06,3.0594302990574023,3.1520474253611894
bible,1,gov,0.5902465286006247,1.058109111636255e-06,6.631708234724132e-07,0.3858437408747896,0.39675846734383685
bible,10,flores,2.229987838748602,-5.136700325962443e-08,1.981221450195045e-06,0.824682527091689,0.8489710083901347
bible,10,bible,22.412124680681583,13.626084905915224,8.683598549226793e-09,3.415121380578581,3.5741666383268615
bible,10,gov,1.2538598974001274,-8.198197410309524e-09,-4.682872645613258e-05,0.6827357451002806,0.7034022466924179
bible,25,flores,2.569997645895237,-7.11655202362355e-09,-4.762762857502749e-09,0.850940794118797,0.876993749841039
bible,25,bible,26.285874254583092,14.285130880491016,3.7404039898348583e-08,3.5270693665521513,3.6547475774452165
bible,25,gov,1.429936446660739,-1.290406048807435e-10,-6.71768607808919e-09,0.7950511676625857,0.8134838306362191
