train set,train set size,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,6.453847115355441,2.4731236815724955,1.3048010151425278e-08,8.297914702533415,8.346002723654905
gov,10,13.007184088484543,4.64505752649878,-5.310931575540961e-09,14.040307923331785,14.155205686012607
gov,25,14.76364853038135,5.350239365772399,6.642346779993752e-09,15.423242436892107,15.561902053900173
gov,50,17.814833713778693,2.4545532368400895,1.5356279877604955e-05,17.228694330733493,17.535484311507883
bible,1,4.850230812653714,2.0000546399431287,2.744833492153244e-07,7.817519942657907,7.856447026904178
bible,10,7.027081222923559,4.897785047441347,8.70180470924545e-08,12.370674104948401,12.445081485131382
bible,25,8.307082330116957,5.2810588412723565,2.8038449932493142e-08,14.183955222411774,14.274034593494964
