train set,c0,c1,c2,rmse,kfold rmse
gov,2.398045217559937,1.0527679974254738,1.7497425541175564,14.586843695294808,14.575418032156755
bible,1.6197271951046472,1.14147450198195e-08,2.4938359129117416,12.049572356916416,12.04355201612313
