train set,test set,language to,c0,c1,c2,rmse,kfold rmse
gov,flores,ka,5.345419016423408,0.5690962533927814,-1.9706415773979666,1.7977099577611104e-05,3.3644019623736128
gov,flores,gu,8.008633018793098,0.06696953174325385,-0.40720970822386265,1.0249865701811345e-06,1.2706323666779802
gov,flores,hi,6.805498201627215,0.06571086766147655,-0.41472614593427165,0.17809909627757994,0.6138473290123119
gov,flores,si,3.945803946186264,0.08085707881140923,-0.49632799712707604,0.02373120939847089,0.12521480218404493
gov,flores,ta,2.716942129570809,0.017415946904021457,-0.43072673017238633,0.21425581251778533,0.4386690169782496
gov,bible,ka,174.32221353744896,2.391691703972676,-5.209967625705741,0.0012278808348254067,0.4604919852013911
gov,bible,gu,2.310581045607889,0.018044392983313697,-0.2568432140998704,4.740264605897681e-06,0.09608618981641798
gov,bible,hi,4.243941580841076,1.084283068416934,-1.9700787965448847,0.0821458665694132,0.1222288393087836
gov,bible,si,0.2201845657316996,0.05588536653576529,-0.7386992664871522,0.029562912521333,0.07033680505115086
gov,bible,ta,0.278710915601375,0.01089160613957403,-0.5051968557569414,0.035191896378382874,0.08063924372233783
gov,gov,ka,17.438689187934095,0.4625588490044131,-0.9831578397476737,1.0690488378329918e-05,4.882300532545592
gov,gov,gu,22.892981706095515,0.060471109762628435,-0.2193846012690111,5.348550493585551e-06,0.990947142698562
gov,gov,hi,20.642067340031648,0.15306887144702316,-0.32863967364430713,0.03724695116568963,0.5810026864853928
gov,gov,si,22.89316353324258,0.13698023179836388,-0.41608092909421757,0.035925286919900344,0.2927963229448039
gov,gov,ta,20.476031676464068,0.11607172049414329,-0.342241268218158,0.29022842534007937,1.3594486428677444
bible,flores,ka,0.6011888444004443,0.2145719715725676,-0.9482038286274307,8.66869338623667e-06,0.32968022511895023
bible,flores,gu,2.1966704669597306,0.21717501696447936,-0.47727665790331153,6.107406784705984e-06,0.376359934142054
bible,flores,hi,1.535625589405157,0.08474112740555757,-0.288579337871363,1.111102310531113e-06,0.13314746430508942
bible,flores,si,0.9134750499223248,0.2507447609716663,-0.5928499039287211,7.379164560553406e-07,0.20996172581289127
bible,flores,ta,0.8053398117432015,0.020714529712833888,-0.3246880622536167,3.077181871208815e-06,0.04392213714681543
bible,bible,ka,12.609361400099484,0.07062958138570222,-0.3639815985462735,3.389767632436831e-06,1.5565379085646054
bible,bible,gu,16.388501314912872,0.02683113470471171,-0.20451167471491966,2.9979807587458995e-06,0.4136776699770422
bible,bible,hi,18.65382889918641,0.015350287951560957,-0.18970348561336606,4.6796640589024927e-07,0.40655170920936134
bible,bible,si,21.86882965087489,0.05325236578829191,-0.23840205089847885,1.6957732911378833e-06,1.016215701915495
bible,bible,ta,16.39950765081923,0.025821527259772825,-0.2387366176854525,9.906207922047784e-07,0.7348578875846684
bible,gov,ka,0.3126526145702599,0.07878666961243368,-0.5457549322485032,2.572336227093804e-05,0.06237928977443591
bible,gov,gu,1.2179561307562723,0.04345564554978706,-0.34932769737558755,9.547414368668521e-06,0.13433313189364024
bible,gov,hi,7687.943113075567,6.545487165434214,-4.425158120507387,0.029609059809947005,0.2870342746312798
bible,gov,si,0.43173113419550263,0.17384943316027984,-0.47623826620336984,2.3204195850977087e-06,0.04855422659661247
bible,gov,ta,0.33808270186334255,0.21116977091506303,-0.6234029183470501,1.5587380462007783e-05,0.0696050870755704
