train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3",rmse,kfold rmse
cc_align,25,gov,1,flores,35.69203255268942,64.40728289205131,63.634510175207296,23.951148087901693,-58.95928691717621,-64.09932742045632,-51.195469112231216,-9.020207993788935,-18.103355426771234,-16.71910627663937,-28.609412223890757,-19.769269368378964,-4.330074675506471,7.858731757616469e-11,2.063325830887442
cc_align,25,gov,1,bible,12.354374064979439,8.759147982608617,10.121944680729419,14.511245427490866,-20.6088308232363,-18.641075486272513,-24.00635667834992,-0.06632106937764774,-2.4020750762353065,-2.163016854709146,-1.945519396896992,-3.9946137553561094,-2.6124080520402533,2.9804003136801184e-10,0.6402023352380204
cc_align,25,gov,1,gov,-1.416544147834189,125.41946236681181,-14.167685588855367,115.34327931695991,6.661300110262956,5.701666204309609,2.0265091193361977,-19.307308647292672,-29.020964200316747,-12.18250544794527,-73.69758000655003,-6.0062493897450215,4.699534147510306,2.6725443024307473e-12,1.080304766415765
cc_align,25,gov,10,flores,-36.35724391353772,75.0674064884979,171.38593760958074,-62.46578828511407,-103.38764363447777,-109.39952944336089,-89.15209148140728,-3.712699147444499,-33.69631553784407,-33.90684555181749,191.86029015590688,-41.382536188790795,-148.98615593004504,1.9537208753635844e-09,3.847631419259227
cc_align,25,gov,10,bible,1.7090615954977746,21.283662561099344,17.6894818538393,27.59267271905652,-0.6044533328730407,-1.2247519238334457,-1.8063587844287243,-4.886589355066141,-5.779270417163433,-4.253727298554625,-12.894423906559448,-12.005234567189774,-7.63156018224086,1.351772564592965e-10,0.2534492198889323
cc_align,25,gov,10,gov,0.35959692086166734,59.10169195242725,66.52453463497699,55.94936439794038,16.086050471929997,15.817285861186503,11.094557013437202,-22.082872564523434,-25.478603018607664,-21.36902532357431,-32.12283203033236,-14.98721747675227,12.842315809798036,1.2493808720740847e-09,0.3692023836843641
cc_align,25,gov,25,flores,4.18272709269727,10.371197631948997,119.81122533230723,37.706191101737105,-114.52283887909813,-121.30063538320532,-101.36949242264984,-3.493297069182393,-28.64580502326925,-27.50536368073453,195.43273904619602,-54.848871979741794,-126.5252460990701,2.0085227997425806e-09,3.6977445827546487
cc_align,25,gov,25,bible,0.5070486828104664,22.88768915462337,21.217191447158353,24.13172453475562,-4.363362142675887,-3.495575571230253,-3.1947968912661486,-4.6529739271216535,-5.32635917008369,-3.284785491236516,-6.443618925385874,-14.168946251836646,-10.423005135959542,7.681588098208058e-15,0.325902990813325
cc_align,25,gov,25,gov,2.5238548084422314,55.0005469892743,62.61015388132874,55.840465786757555,13.523860198523717,12.128870210058091,8.09007874838735,-17.641281397106074,-25.379899288222163,-25.336133826982053,-27.68223314827862,-10.618542627706624,15.179612802512633,3.7875305822926164e-09,0.21603525100481197
cc_align,25,gov,50,flores,19.697996482715553,14.411363531349789,-6.657079326796614,-8.187163484001225,11.802126619310602,10.151961061670347,-15.403241585443654,-5.249556434331086,-8.890448565227766,-8.795393195031325,-3.0483114473950206,-8.477696063969889,-10.873154223851738,7.154428749125289e-10,1.8251396162300457
cc_align,25,gov,50,bible,3.641765922021794,-1.3460439451078494,1.197291005463931,-0.853127408919512,2.8395198193629367,-0.07563040030317737,-0.7305166833681451,-2.1773599595848876,5.349504415978957,-1.186698457970277,2.9247505447150175,-3.3829945881660506,-4.298091966357893,1.1034973253019868e-09,0.8016149701836952
cc_align,25,gov,50,gov,11.8589820368276,9.511723637895253,7.998816594123481,6.909285563121131,4.289561131149581,1.8640446588091006,3.018898975435678,-1.3071776414465974,-11.377106303991983,-20.697829453411007,14.217766101080267,15.768113007527987,17.738017229994036,8.772570083639741e-10,0.6090963896098228
cc_align,25,bible,1,flores,2.700093738307963,17.29739926792191,21.901920349330894,11.627235883719337,-7.0285330706760165,-7.813837056563128,-4.782608897693879,-2.188377044755424,-2.686639240464802,-9.142111736563917,-6.266295618541026,-15.360984892232525,0.011613636423544403,7.0321643787038e-10,0.555053659956232
cc_align,25,bible,1,bible,7.344055059196458,55.11043237508796,75.91142862528497,78.16322563800144,59.535474523432,55.18080518745615,38.60932849826618,-23.962875805424797,-29.959215550737923,-25.794701667295012,-144.42180107128473,15.055678606231064,21.232184226626558,5.557908322413526e-09,0.44109216158166126
cc_align,25,bible,1,gov,1.7258678191468093,13.066038116135738,14.780853931896154,11.175476590459311,-6.672357302501096,-7.937897574344479,-6.418178938449444,0.21429442873095914,-5.939405592148606,-7.247262927540736,-4.4037782115028845,-3.172632162414565,-7.80168716878487,6.623205246998135e-10,0.14993216582968255
cc_align,25,bible,10,flores,10.050901782445466,17.663025734639593,16.709102162098002,13.38797630174267,-21.920178130033612,-24.28973034694479,-20.00841503131454,0.5016025994430175,-4.461297333066756,-5.480842095045693,1.763754449585523,-6.5931470042612075,-9.497835557148282,2.082803771296625e-10,0.2396959799159648
cc_align,25,bible,10,bible,-29.222925453144068,67.69460372539933,78.92178131006473,69.0585562640529,78.20711734579717,84.57492009024654,64.80489343750817,-36.775754296494206,-31.807077734641403,-24.569869397272246,-68.56897975245893,-37.97107830534433,21.455573836517026,2.7705331269155788e-09,0.4992726857634829
cc_align,25,bible,10,gov,9.253978148334532,21.28836634671293,21.27411227924923,17.39658411553318,-19.736929463646447,-21.391461843784196,-17.379624121646774,-2.2704520794098935,-7.462337741483679,-4.032830835227396,-7.237937140870467,-7.4327513372865015,-4.320693950891293,5.728589983965899e-10,0.9458706553325207
cc_align,25,bible,25,flores,9.915880795097333,14.857663712436397,14.20861992882812,12.211369756288287,-21.2363649316809,-22.319746589795688,-20.40039444099708,3.3782860401244776,-3.5690272599743778,-5.4962227100534395,2.3438035260115146,-5.53368065043738,-10.01132415537159,3.129868541353439e-10,0.6795822901805758
cc_align,25,bible,25,bible,-25.681718847497862,62.668408699666976,71.5850954685897,63.39201930920064,80.69371095749032,86.49302675335858,67.16970391914248,-36.17172091633425,-29.564833426843332,-22.225790339922458,-63.14336211711948,-41.65145558701882,26.80844229499429,8.175728480972678e-09,2.9850443590141986
cc_align,25,bible,25,gov,8.612904011358285,21.72866497971948,21.794888433866177,16.484917045384993,-20.86907086836778,-22.897481261031505,-18.143204418126725,-1.5504522532904987,-5.712667065915784,-6.253823137053359,-4.1374979749620335,-7.601341598230638,-6.707610809048648,1.7846247275350364e-10,1.1134990178006414
cc_align,100,gov,1,flores,28.870822022186378,52.30461377615804,49.366902423298264,38.91730308848771,-52.09011827620585,-57.61470259152626,-45.415796902422166,-6.778605412646116,-18.24568999886274,-18.224533316493716,-6.658988960696527,-19.91298535146471,-18.246270176499536,6.265672973473778e-10,2.2595548927402564
cc_align,100,gov,1,bible,11.720298311977952,9.238095086752448,11.874301518575963,12.679853956849456,-20.2927957718131,-18.33548830994302,-24.48254279772592,-0.20747142977838479,-2.800913377825339,-2.580390826676344,-0.9295305105416949,-3.9288790023040465,-3.540791046886911,3.922730253492465e-11,0.6411577777787817
cc_align,100,gov,1,gov,-2.4738272203552656,43.981880404912204,63.05840383305467,72.41709476924439,18.086333078016274,19.549732650521307,11.031752467790762,-11.013267840237653,-17.554506128775238,-33.874412238789745,-32.82378371614565,-24.201180221896216,0.4011241120792884,2.2113188209550972e-10,0.9241118219487647
cc_align,100,gov,10,flores,18.67733972897959,67.11368635320181,65.11017869753378,61.63606160241618,-96.28055713549102,-101.9488737923104,-86.0252674321577,-5.535140380925885,-36.83335573337409,-15.010957623993058,88.12712921655249,-27.075983036875083,-87.31079459830228,2.1082006783593683e-09,3.351621453919122
cc_align,100,gov,10,bible,-1.4576878488988951,25.562869907715694,29.050279736122004,24.399509185815486,5.511749107487223,-3.2197574763250483,3.9018496903537,-6.248791492129099,-6.857976563667296,-5.797504982509474,-18.952135567252594,-13.392948143283322,-4.774886186566955,2.391498384515871e-11,0.17063607802363975
