train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,1.9663659195079697,-7.811847092143978e-10,1.4867624997722557,8.567294928129913,8.655614070889555
1,gov,1.520072945247973,0.20914026000395455,1.820816352933536,9.790091370235679,9.88515746267596
10,flores,1.2932624466158846,-6.339051643689369e-10,1.6988947721989838,5.579817516530785,5.585312260033923
10,bible,1.8942846149917,-1.3548977065951524e-09,2.137762499779187,13.324111229456808,13.39636773255821
10,gov,2.1505900923932706,0.1258631794936992,2.158218310592756,17.173265938952813,17.747920704307074
25,flores,1.3948872333896043,-1.0938797074215915e-09,1.8295123042645567,6.684970856603522,6.716976527177501
25,bible,2.1191278464641394,9.2178418322858e-09,2.1759538645760768,15.167318170539726,15.249599072713474
25,gov,2.4113996458763407,0.18521016037261412,2.1219878169852104,19.0732801225797,19.761272552927192
50,flores,1.8891892951785338,-0.6570162439976898,2.4347761453838936,3.796787098292599,6.094662042552835
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,4.19417267371354,-0.8099901480853157,2.8421334808480396,7.176241978495667,40.51521316716173
