model,pareto,rawlsian,1k-flores,1k-bible,1k-gov,10k-flores,10k-bible,10k-gov,25k-flores,25k-bible,25k-gov,50k-flores,50k-bible,50k-gov
linear,True,False,2.386358039601844,8.500791269804118,9.727931383341495,5.389552247274182,13.383225060620466,17.42362804585889,6.460450039675159,15.29746320185031,19.40949466764153,3.419801403661561,0.9546712960544856,3.3631219934602257
poly2,True,False,2.349372246662805,8.52203989173234,9.746447365247208,5.318627296392677,13.45773671975457,17.511828374639894,6.405068115614452,15.356878070078604,19.499508464876698,3.6368571444184887,0.8976708546088755,3.491709871985829
poly3,True,False,2.245129088874827,8.547612231504328,9.785612506284057,5.3056125335321855,13.494548388413312,17.544106410837117,6.405515184006814,15.4338612554029,19.52691266139187,3.770670418152589,0.925959777656617,3.728740388005122
exp,False,False,2.337275837252,8.763505760888027,9.997168052581918,5.382798730373971,13.841576817825995,17.85217910892088,6.507206239441844,15.865779109872117,20.028450820340364,4.714694635745332,0.8950035357851439,9.113364411880646
log,True,False,2.27263728630262,8.615236993278442,9.868780824717629,5.245601138848222,13.591393299713696,17.724425706789166,6.336137116903784,15.51630498657984,19.743606638213656,2.030036894941213,0.7004782901938459,6.360804533874744
power,True,False,2.33845346680718,8.58103516888425,9.818278964777155,5.283364906648516,13.41737807715436,17.432036322930156,6.380698595712572,15.315934123026535,19.356059842176887,2.6356842534657563,0.8598827738977963,9.739029196492366
mult,True,False,2.1143885114110623,8.86393618620337,10.14175467122799,5.321927215422996,14.05222302113804,18.27748318603615,6.483796786179335,16.071581500854162,20.29916956225653,2.8165289817602708,0.6155464517295859,7.289852324543545
hmult,True,False,2.0977150346580604,8.921106292529212,10.222951342050976,5.335367962950971,14.116349750578468,18.377899552869827,6.49092067262483,16.135938613541988,20.405019874760598,2.6931266020474944,0.7005973415443848,7.784862403062971
am,True,True,2.3904269203561963,8.457474964860715,9.680823152304896,5.42805770634021,13.168806772802077,17.052822579499065,6.5130189438084924,15.002433138954736,18.94548477546752,2.8022358399950105,0.9733429646813528,6.048346890742994
gm,True,False,2.3904116388168672,8.457020807622726,9.6780183539306,5.42902763478042,13.167486283065738,17.0541068120314,6.512063601093159,15.003848913685138,18.9473410977782,2.803719717114156,0.9733568873451962,6.110091679845315
hm,True,False,2.3899470408713697,8.457192475168213,9.67934767920791,5.4284456821532725,13.168442696750024,17.05942865493481,6.507097821856417,15.007024557668927,18.95400424388143,2.848320801397444,0.9683740062975176,6.183115437496216
