model,multi factor,multi variable,overall linear,sliced linear
linear,48.66%,16.33%,16.32%,100.00%
poly2,49.01%,16.45%,16.44%,100.72%
poly3,49.41%,16.58%,16.58%,101.55%
exp,48.64%,16.32%,16.32%,99.96%
log,48.34%,16.22%,16.21%,99.34%
power,49.26%,16.53%,16.52%,101.24%
hmult,48.05%,16.13%,16.12%,98.76%
