language to,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
ka,24.777420630814078,-51.017566214554165,181.35439686470372,-200.60230288727706,137.6136948272824,-764.9805977968003,832.7129254273048,4.045469414809587,4.057949201813736
gu,20.60573541462105,-24.0887563868637,-11.600049807783508,39.812977618689224,248.64026057866158,-999.9999999999999,944.2899136004604,4.1162230619413105,4.124414740350651
hi,40.09695252291949,-185.08217956472063,551.5885140522045,-534.222225485469,187.54980525261664,-886.3995103876728,885.5958819534911,3.883228284397268,3.890692417109171
si,90.23765736260638,-32.002750171902015,52.871786207064865,-42.57282143737477,-472.1550385337418,999.999999999981,-733.97287342957,3.484444960655725,3.507390288231484
ta,62.16612598428953,-59.402005799120936,157.69697261828298,-162.02146354123147,-224.1858482540343,361.07263171281306,-218.97888001185638,4.269795560769163,4.310532591204428
