train set,train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,5.107641334314694,5.107641334314694
gov,1,bible,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.57213037585668,2.0382186153573154e-07,-3.728811611067363e-09,2.3501366764734147e-05,1.318599600930813e-05,4.540954835836424,5.030982673436787
gov,10,flores,9.339971412328616,2.3057940700918886e-07,-2.6409138992603652e-08,-5.053853390078918e-08,4.3375861578530626e-08,4.252592444091341,3.6828677236165723
gov,10,bible,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.20583773929792,0.0010172639392035,0.0038684105453865632,-4.083565438183098e-09,0.0037406980787524522,4.5407334119412175,4.108120638385252
gov,25,flores,11.837757628709575,9.777244464361035e-05,-1.1984327481841407e-09,4.013827164262518e-06,2.471669989739774e-05,4.594985580309133,4.066575121840238
gov,25,bible,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.07987297648665,2.1464509434758476e-06,1.0600704211588026e-06,3.2279636562518284e-07,-1.4528845195122258e-09,5.110012491466007,4.642963052582384
gov,50,flores,11.70120867670746,1.1533533850870538e-10,5.822527552258001e-07,9.745378594890866e-08,2.9597216130404764e-07,4.23445672728264,3.5827164535211176
gov,50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,40.516737008565805,-6.562664877778312e-09,0.1203000260366465,-4.337830950157447e-05,0.12674630717872895,5.618611928078179,5.617839171153153
bible,1,flores,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.526265527188983,-2.7718768276708706e-09,-0.017056772105534714,-0.00577196148047751,0.003845156260807899,3.950407432503101,3.7560459875980263
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,24.460402520981116,9.369910199665044e-10,-0.005016727368554315,0.003932654012022018,-0.0008353134725055665,4.78646918051263,5.008611310240557
bible,10,gov,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.068572081987398,8.084721266797017e-05,0.02365341510077733,-4.39807899917215e-10,-0.0005890942535482594,4.602973279351198,4.4600298480919625
bible,25,gov,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
