language to,c0,c1,"c2,1","c2,2",rmse,kfold rmse
ka,29.341358226759663,0.29012211921495895,-75.47223587138858,25.59891348585711,4.219855278890066,4.286012227402767
gu,25.659778655334687,0.24757073778759675,-1.0655676641532708,-94.45943719549648,4.367136877446332,4.43811524430122
hi,35.22847595010681,0.17109062387759566,-70.75839540680458,1.6189935209746047,3.2638415518601858,3.3294214997740985
si,56.52823887115433,0.1576120206286651,-199.95493412483074,172.15433645931228,2.9873302506945207,3.04052437476195
ta,40.91913298093652,0.16350938253630476,-138.20522410190378,110.82795957111101,3.406484692690904,3.474106493553439
