model,multi factor,multi variable,overall linear,sliced linear
linear,296.13%,99.38%,99.34%,100.00%
poly2,296.13%,99.38%,99.34%,100.00%
poly3,296.13%,99.38%,99.34%,100.00%
exp,295.98%,99.33%,99.29%,99.95%
log,296.13%,99.38%,99.34%,100.00%
power,296.13%,99.38%,99.34%,100.00%
hmult,295.80%,99.27%,99.23%,99.89%
