model,pareto,rawlsian,1,10,25,50
linear,True,False,8.440940396023723,13.711488692281485,15.316355826158626,17.926188609096332
poly2,False,False,8.463451487000627,13.733839498107288,15.33867707918863,18.025405648738413
poly3,False,False,8.531706574286146,13.733999114382936,15.32449629437436,18.07404816477748
exp,True,True,8.247058034505157,13.7562431234954,15.408904055608264,17.717998592677024
log,False,False,8.453314508827663,13.714221251144968,15.317428194382218,17.970604851934098
power,True,False,8.453884005873208,13.712560849438624,15.27575807663418,18.146297866706817
hmult,False,False,8.453349550736894,13.713269075973304,15.317374080240992,17.986088412946877
