test set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
flores,ka,0.5874630623731247,38.799861117017336,-33.04310659275382,-28.213012104607063,4.535875512711211,5.215418581927065
flores,gu,4.168689341403018,37.17443046592518,-29.933118273441174,-25.780999670295454,6.082557028092975,7.003709169997717
flores,hi,3.2686283636291242,40.74270353892054,-84.9085425981252,59.89721278754483,5.1523226385235095,6.97148119257578
flores,si,1.7586901382905917,28.176430835254102,-56.340178435586495,38.70506390520647,3.3124225058411403,4.502023218978365
flores,ta,1.2486968094091917,23.481241553055757,-46.48455928742328,33.054619382342004,2.42737365421314,3.410804398647408
bible,ka,5.4078692157715595,45.35637267284285,-36.88443735890487,-31.71956061695529,10.59563589408732,12.209079085974098
bible,gu,8.589493122616647,36.091382380185564,-27.86191389793504,-24.15776051720444,9.994540176207185,11.527346167357315
bible,hi,8.951559895014007,43.48416546198466,-53.31361429321836,4.277889438788462,11.241536499048467,12.85007168458779
bible,si,9.905951781976391,51.0047889344893,-65.05522181376087,5.644446215521034,14.536014388266157,16.596178682015786
bible,ta,7.4964194675813856,41.10113129424201,-46.57911108532475,-0.4183893717789594,11.474256901738364,13.059395481021193
gov,ka,4.794920774651836,68.9948635157531,-60.765833475318594,-51.60645676010078,13.353495175224275,15.375976688949708
gov,gu,11.014100751291002,45.04327070418425,-36.75414730502379,-31.577460636941186,14.983880227334993,17.283968816068278
gov,hi,9.114201062531045,64.65286641484195,-145.2581386964138,108.19107210599275,13.152240439247363,16.575332683585128
gov,si,9.20924864131275,96.19006032715573,-210.93548815215314,155.03620867038072,17.426806116925004,22.262888083032788
gov,ta,8.576845301628794,74.47982669990598,-168.27726184280152,126.02054208230044,14.486274292130535,18.409589821627513
