train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.419702600550719,-4.458475945469948e-10,1.8816811799054822e-06,-1.3593789943492036e-06,8.766703215945334,8.940448741640683
1,gov,7.0530331066940954,-3.2842349377183145e-09,-1.0290587165284562e-08,0.012711933849330066,10.034082671809916,9.731324630290555
10,flores,4.560084095750314,-1.588485181656975e-11,9.694210735142054e-08,-2.1681120261566975e-06,5.94592139487301,5.7900004553287845
10,bible,12.223401891107669,-3.7004927051615727e-10,0.08114639910788249,-0.016730460930495867,13.33247756948257,13.874949637922507
10,gov,12.335841884272275,4.258287932228299,0.001628444762719808,-5.413205399760771e-09,17.251787090556526,16.974508746358495
25,flores,5.933058065582746,-3.2765816293292365e-10,-0.00038830987568748947,2.4837981835590508e-06,6.946948377887698,6.716060520439912
25,bible,15.546547098574868,-2.3360054371102892e-09,0.00017885247479756215,-2.8797299776377592e-05,14.984567078595685,15.401529152299805
25,gov,18.38713970236382,-4.147850412651052e-09,-0.00019112916993825206,0.0009627625583619612,18.895677287105666,18.81815835239445
50,flores,11.186756251897492,-3.8921033738613445e-10,0.27841527183822223,-0.0108090516177612,4.509843151093625,3.6186048454519844
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.12270742013048,0.007157375350040152,0.00039756375637364127,-7.303729927285842e-10,6.225804153087296,7.114185321539774
