,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[1.0],1.9559829022864788,[-1.0],8.373595894585835,[0.5],15.132873701913347
kfold,[0.5],2.847603165107171,[-1.0],9.93784547379056,[-0.5],25.793331474710577
