train set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,6.757887764856972,4.264193484562312,2.019848766620741,-2.6423543188627833e-09,14.759879574269576,14.901564235705642
bible,3.7519692455393954,2.367486371547799,1.1214338120419658,-5.668030073575686e-10,12.307833204837257,12.226658355625258
