model,none,lang
linear,5.643266232181038,5.07817538748987
poly2,5.46325959804262,4.56981790507779
poly3,5.4141087639697005,4.120193860849964
exp,5.837435133976676,4.935523642046128
log,5.63150923228063,4.924731175339541
power,6.769159001465253,5.645611457090731
hmult,7.162683112306574,6.023684698287637
