train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,2.1014320540484817,-8.105682122262775e-10,3.3422809251658383,3.005891491557937
gov,1,bible,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.801932200781057,-9.487486613110768e-10,4.415083355550314,4.495445060823913
gov,10,flores,9.34000078750892,-2.1203922621434223e-09,4.252575227770759,3.6828736305327574
gov,10,bible,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.339981065909654,-1.2175011535302618e-09,4.467985188514291,4.473427556286758
gov,25,flores,12.023773460630375,-2.5178419171175757e-10,4.4989063334917505,4.01001390813779
gov,25,bible,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.166459963393905,-9.779737807647516e-10,5.0682122598668835,5.029088313965146
gov,50,flores,11.69730207317846,-6.736786728248879e-10,4.236763337860679,3.5323573733949543
gov,50,bible,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.81918420168438,7.573729156668212e-09,5.899420993262112,5.59776531981029
bible,1,flores,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,14.51984782233402,-6.054457683715706e-10,3.9507418180814633,3.8392660925123794
bible,1,gov,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,25.24608577620793,7.025784535434216e-10,4.305023264638249,4.208104316764709
bible,10,gov,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.348226748730937,-6.578526481530127e-10,4.448713321537691,4.4478219842786615
bible,25,gov,0.0,0.0,1.6792855623746665,1.6792855623746665
