train set 1,train set 1 size,train set 2,test set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
cc_align,25,gov,flores,ka,2.999654622151488,2.6048011009924688,-0.20945343290138027,0.004997677658647298,1.8535331003843776e-08,986.9167038493076
cc_align,25,gov,flores,gu,5.838694382033703,5.057295818074885,-0.5091983802251735,0.01320818545963734,3.0853275932962924e-09,1955.5043207173567
cc_align,25,gov,flores,hi,8.124943310657597,1.2213424036281173,-0.046830385487528305,0.0005446712018140585,3.972054645195637e-15,284.06680961395597
cc_align,25,gov,flores,si,5.495578231292517,0.8350408163265306,-0.03097006802721088,0.0003510204081632652,3.66205343881779e-15,191.711738725964
cc_align,25,gov,flores,ta,3.6075585789871503,0.8231239606953895,-0.031048601662887393,0.00036606198034769483,2.175583928816829e-15,112.54457553812043
cc_align,25,gov,bible,ka,0.3309650457217979,0.28788503165161416,-0.019266959144114196,0.0004168805521957041,7.03622431148572e-10,107.58405292860432
cc_align,25,gov,bible,gu,1.4674032715179766,1.2694195402169934,-0.14062356000215734,0.0038007573263625933,5.231190290850988e-09,495.7677855724429
cc_align,25,gov,bible,hi,1.0168745275888131,0.39880007558578995,-0.015855253212396073,0.00018065003779289498,6.280369834735101e-16,23.64983433384758
cc_align,25,gov,bible,si,0.531557067271353,0.1749508692365835,-0.0065854119425548,7.747543461829177e-05,1.1102230246251565e-16,13.986722060186429
cc_align,25,gov,bible,ta,0.5028911564625851,0.30803741496598647,-0.011050340136054423,0.00012176870748299323,2.3603665272841412e-15,6.341021451746437
cc_align,25,gov,gov,ka,9.889377632803255,8.564109532810289,-0.8763962923408541,0.022909156272640382,1.7060849512354806e-08,3316.905091577328
cc_align,25,gov,gov,gu,13.728063243648034,11.873119009393168,-1.3372477812482428,0.03606552478730693,1.974712621633506e-09,4645.437661166776
cc_align,25,gov,gov,hi,19.723696145124716,1.9488752834467127,-0.07339886621315196,0.0008274376417233566,1.0658141036401503e-14,738.7490248495524
cc_align,25,gov,gov,si,23.27704081632652,2.8271734693877613,-0.10540612244897996,0.0011918367346938823,1.507288760336424e-14,846.3415172325629
cc_align,25,gov,gov,ta,20.328665910808766,2.1495801209372645,-0.07913507180650041,0.0008890400604686322,1.0658141036401503e-14,754.6015069045774
cc_align,25,bible,flores,ka,0.5006448384986083,0.4345982061059781,-0.03610714166575984,0.0008640872671962259,5.655499302553816e-09,165.10765443308867
cc_align,25,bible,flores,gu,1.5192211858564304,1.3151989643408077,-0.13805437217508593,0.003634226388163645,2.546721981111021e-09,510.71115596170574
cc_align,25,bible,flores,hi,1.299160476886067,1.1236607595278265,-0.12620607643984644,0.003384839571828593,2.6223255509163465e-10,439.50492885988035
cc_align,25,bible,flores,si,0.6750988496536979,0.5844613880793247,-0.06115613638639123,0.0015959009081510523,1.3020165142918897e-09,226.88009708678538
cc_align,25,bible,flores,ta,0.7882487185621715,0.6822853519891778,-0.07246996262198412,0.001935894023708839,1.1277961205141716e-09,265.269223395968
cc_align,25,bible,bible,ka,8.158829130779061,7.063119993674037,-0.7416212002258182,0.019672090954785483,8.766832694461633e-09,2742.8019456350276
cc_align,25,bible,bible,gu,9.542508349924393,8.25413306020185,-0.9215084253501941,0.02486700358328882,6.721861046066097e-09,3226.361895275883
cc_align,25,bible,bible,hi,10.840763860386069,9.377195821971718,-1.0461633312865055,0.02820361104923814,2.187337806295983e-08,3665.06325583104
cc_align,25,bible,bible,si,12.808251900531829,11.080852053047629,-1.2218746837311922,0.03277069594273503,1.9753871073621544e-08,4325.419025691194
cc_align,25,bible,bible,ta,10.037473918841561,8.684983467208614,-0.9478556118846347,0.02539825259704764,1.5453967184100904e-08,3386.416994514589
cc_align,25,bible,gov,ka,0.34063784947499337,0.2942654541903745,-0.035911114041097945,0.0010078190125735289,4.987316269924013e-09,116.19719506074198
cc_align,25,bible,gov,gu,0.8952839419373758,0.7760800048936846,-0.07323096351135394,0.001867012360339965,2.494542783504687e-09,298.2017922081721
cc_align,25,bible,gov,hi,0.9057996322387402,0.7830180514541953,-0.09131300146719086,0.0024953199998977997,1.2851896913853067e-09,307.56078206229313
cc_align,25,bible,gov,si,0.3916750659535707,0.3395274685906945,-0.03201730996668299,0.0008147812447015911,3.362058211273377e-09,130.4524571480941
cc_align,25,bible,gov,ta,0.27896054866047726,0.24198497481904568,-0.02149634770051347,0.0005508244731958129,1.4563507777996558e-10,92.4674740762012
cc_align,100,gov,flores,ka,4.03364518915011,3.495570401068836,-0.33791805443128037,0.008702456243434907,4.601614153666968e-09,1346.243520138741
cc_align,100,gov,flores,gu,6.290830777300002,5.448304749794481,-0.5535129584262404,0.014377417567630274,7.948048261541984e-09,2108.5942829386468
cc_align,100,gov,flores,hi,9.509845049130762,1.2369247921390778,-0.04732305366591081,0.000553212396069539,3.076740298213702e-15,341.80484184237037
cc_align,100,gov,flores,si,6.349187452758881,0.9892966742252458,-0.03893552532123962,0.00045139833711262285,1.0126792072454708e-14,220.2883527597797
cc_align,100,gov,flores,ta,4.862925170068028,0.8675986394557825,-0.030872108843537437,0.0003482993197278915,2.0350724194510405e-15,163.42466120841053
cc_align,100,gov,bible,ka,0.5036710750429583,0.436592762537563,-0.04132692219531283,0.001063093518950292,5.141676575986774e-09,167.8070669830291
cc_align,100,gov,bible,gu,1.5770915558414489,1.364967477502364,-0.1459247417879423,0.0038657078479400154,3.442675144034968e-10,531.0533540802329
cc_align,100,gov,bible,hi,1.3198790627362056,0.3954860166288738,-0.015544822373393805,0.00017974300831443695,6.661338147750939e-16,36.60867486230213
cc_align,100,gov,bible,si,0.6982615268329554,0.3146114890400604,-0.013031821617535903,0.00015880574452003022,2.817430187029739e-15,14.263899201998479
cc_align,100,gov,bible,ta,0.6174225245653819,0.39687906273620555,-0.014461526832955403,0.00015993953136810279,4.577566798522237e-16,6.879962122594668
cc_align,100,gov,gov,ka,11.391105314859953,9.856177057744143,-1.0760326976836556,0.02875039387480942,3.972558555946381e-08,3843.218255473668
cc_align,100,gov,gov,gu,14.070137987390655,12.168339018304136,-1.375581615173157,0.03710463334644835,1.3782544228308104e-08,4762.89548291612
cc_align,100,gov,gov,hi,21.615287226001517,1.7493873771730906,-0.06540604686318968,0.0007314436885865452,3.972054645195637e-15,828.2938320633339
cc_align,100,gov,gov,si,24.94654195011338,2.6497199546485235,-0.0973535147392289,0.0010916099773242613,2.2748467065386707e-14,925.4458155840688
cc_align,100,gov,gov,ta,22.172014361300068,1.999977702191988,-0.07280030234315943,0.0008082388510959927,1.1234667099445444e-14,839.6968376365826
cc_align,100,bible,flores,ka,0.6703246423824358,0.5813113880238596,-0.052947325410872104,0.0013112940184841632,5.694156947734606e-10,222.63125777889968
cc_align,100,bible,flores,gu,1.6293448245356097,1.4110283772622745,-0.14414841874502074,0.0037752132774106525,2.119070895243365e-09,546.4008680507583
cc_align,100,bible,flores,hi,1.4110942831818207,1.2206858294501994,-0.13540242026844773,0.0036222894494926695,1.0501984610868298e-08,476.80180629762833
cc_align,100,bible,flores,si,0.7292244822750322,0.6317581553162799,-0.06259537699874021,0.0016127316645774118,4.471083078512985e-09,243.89250553750097
cc_align,100,bible,flores,ta,0.896189033687571,0.7766778434199041,-0.07478211367321724,0.0019152438993013568,4.234739075712216e-09,299.00537013013167
cc_align,100,bible,bible,ka,8.849466474241627,7.657830377608033,-0.8295212631797638,0.022224356068662337,3.191053397046305e-08,2983.520941235749
cc_align,100,bible,bible,gu,9.654255652267022,8.351037462821601,-0.9303649663083402,0.025071866350075026,8.736974056119161e-09,3263.485452563916
cc_align,100,bible,bible,hi,11.186300594502292,9.674691573257087,-1.0905097762435263,0.02951776129449236,8.823982025331022e-08,3785.624584127141
cc_align,100,bible,bible,si,13.322127781814016,11.524181616309654,-1.280717286314732,0.03440778468845043,5.976723738250016e-08,4502.296289110213
cc_align,100,bible,bible,ta,10.321802823332748,8.930515116962443,-0.9785455737428912,0.02622760338188032,1.736140691629014e-08,3483.648272138031
cc_align,100,bible,gov,ka,0.4533523582637922,0.39180794064888697,-0.046432075146278395,0.0012717757498839997,2.7931976706815136e-10,154.18218051872944
cc_align,100,bible,gov,gu,1.1219290179418175,0.9719638757098696,-0.09639036861081526,0.0024974690861481277,3.3913325040707834e-09,375.26401657509206
cc_align,100,bible,gov,hi,1.017546858613972,0.8799225029129896,-0.10016954806775798,0.002700182919097986,2.0913376421165932e-09,344.68444609364025
cc_align,100,bible,gov,si,0.44561412280818247,0.38670360910775725,-0.03311675225898508,0.0007990250119275977,2.6960303351039813e-09,147.29166304269228
cc_align,100,bible,gov,ta,0.3879925285785973,0.33709593348377676,-0.02569944746916975,0.0006109928833642449,4.3173194381482e-09,127.18040363127713
gov,25,bible,flores,ka,0.9558073777194276,0.8276018042657192,-0.08564151435435143,0.0022323260151744144,3.669113411100817e-09,320.8969948434907
gov,25,bible,flores,gu,1.969858285940313,1.705213412290305,-0.17983300031633462,0.004761307622689108,3.197306275938259e-09,662.4825988255589
gov,25,bible,flores,hi,1.4110320984854625,1.2206456255871219,-0.13528915498408733,0.003611427144120762,2.1754620346094313e-09,476.7440712707094
gov,25,bible,flores,si,0.5574235516097775,0.4836482694991227,-0.042086565136893586,0.001014750266974562,3.6026788186574076e-09,184.4730704984894
