train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,19.648011551680156,-42.72169163198643,26.285559323903584,2.334007197188421,2.4150451028007245
1,bible,115.71854780678461,-324.24956002044667,243.70040193158516,8.320344470890806,8.73825344679592
1,gov,41.63707714426957,-104.48102831312968,84.2408114728224,9.593277130291527,10.00758530612554
10,flores,0.7737761823598661,36.06714151311302,-39.09678907675397,5.273588608027792,5.466818225132199
10,bible,152.99649564437883,-419.24982602721406,314.9562565397879,12.990509940900655,13.613113617683002
10,gov,88.9619571912393,-232.4809273271656,186.8195796641419,16.860979164716838,17.611462589807513
25,flores,-9.063267734093928,70.68564551504126,-65.49120791075458,6.351966583778714,6.585334122952334
25,bible,157.8346919701793,-427.10553497995,320.945272166057,14.8207720010717,15.520999259108589
25,gov,97.45557090705816,-256.78767720907194,208.32990643866046,18.713573518303583,19.55500635526243
50,flores,229.82493961253195,-600.9454013276592,412.9067652387894,3.4910890374878777e-06,3.6411271282334092
50,bible,42.1714251227185,-107.85713009298449,71.4285606957465,2.3211880581022889e-07,0.6475798884803531
50,gov,215.23081282674525,-582.4383854931717,474.31152190566024,4.0590965415639705e-06,3.7163970577388885
