test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
flores,ka,0.5310056217239214,0.8403283949720937,-0.02134275353798179,4.535875512706389,5.2154311268352185
flores,gu,4.117116334405364,0.8022728701585004,-0.019398309648443426,6.082557028101217,7.003712457662188
flores,hi,4.635088319582857,0.21635374002822166,0.0012801674997193011,5.263992482511041,6.252254359463005
flores,si,2.641676911263001,0.17678445946186047,0.00023799508394139983,3.384943193251936,4.026139172598261
flores,ta,2.002782646159792,0.13934001156036127,0.0008555263968108035,2.499277472691813,3.0534851494180786
bible,ka,5.34442840497058,0.97944912724414,-0.023889059167872165,10.595635894089469,12.20908346567375
bible,gu,8.541196770341148,0.7769015122183088,-0.018101983861546947,9.994540176186607,11.527329228463179
bible,hi,9.049143798085076,0.8269395002368833,-0.018808359329188153,11.241800081368146,11.875716112350599
bible,si,10.034732916411135,0.963696050637832,-0.022700908597052417,14.536370397531975,15.338290963225992
bible,ta,7.486966873771532,0.8261990121449713,-0.018877792824507966,11.474259454883917,12.103991816610085
gov,ka,4.6916466167073745,1.4975056078850484,-0.039166868062660745,13.353495172931312,15.375964280953179
gov,gu,10.950925428868727,0.9728728813848447,-0.023796404611896763,14.983880227322327,17.28393704125298
gov,hi,11.582399325798136,0.21199996474510513,0.0055564748173475885,13.295734659595118,15.074620473924563
gov,si,12.746205883787932,0.3746531727291217,0.006849414147888196,17.6489684863366,20.178483267474665
gov,ta,11.451740888884856,0.23038976745541428,0.006839642559748243,14.662929843945207,16.723131957806068
