,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-162.34531528420936,-162.14809070687315,1.0,0.0,
1,poly2,,-111.47524930961018,-111.27802473227396,1.0,0.0,
2,poly3,,-111.06943956332528,-110.87221498598906,1.0,0.0,
3,exp,,-182.01138595964136,-181.81416138230514,1.0,0.0,
4,log,,-184.95387371867656,-184.75664914134035,1.0,,
5,power,,12.297276762945161,12.494501340281381,0.936373904725325,0.0,
6,mult,,-181.6580368526722,-181.460812275336,1.0,,
7,hybrid_mult,,-188.24971058468088,-188.05248600734467,1.0,0.0,
8,am,,15.234203119593893,15.431427696930113,0.8306446548556923,0.0,
9,gm,,15.638171758229747,15.835396335565967,0.8062332038368203,0.0,
10,hm,,16.080637537315315,16.277862114651533,0.775439771998395,0.0,
