,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,25.976320094218735,27.195195919086935,0.24331020754045207,0.8435958293615348,0.709917880644948
1,poly2,,19.86900001389583,21.087875838764027,0.7769291647242186,0.511168002507189,0.36475205113603926
2,poly3,,19.614862234041606,20.833738058909805,0.7879839854759554,0.49966766501682575,0.3180419033596546
3,exp,,25.730972798859078,26.949848623727277,0.27954430250663753,0.8889671997926792,0.9996714058683022
4,log,,26.195402299720282,27.41427812458848,0.2094176505014662,0.6102418362873157,0.5141440084606143
5,power,,24.836393866139176,26.055269691007375,0.39757201066473025,0.9670365173647087,0.9760193435896806
6,mult,,25.99103252141223,27.20990834628043,0.24108037983561215,0.9237007530432613,0.8432678006475983
7,hybrid_mult,,23.22083611818021,24.439711943048408,0.5639065353431219,0.9957797527494616,0.8657348521233259
8,am,,26.01804454015195,27.23692036502015,0.23696929476337458,0.6324186943807558,0.6063454755510058
9,gm,,26.087357151495723,27.306232976363923,0.2263181090395402,0.559908585251809,0.5382883798922165
10,hm,,26.168681045078394,27.387556869946593,0.21363145112359117,0.4804148312116593,0.45397310950603864
