,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[0.0],0.017790205781118288,[-0.5],1.7311717534787294,[-1.0],3.5443035843984565
kfold,[0.0],0.022731838473389412,[-0.5],1.8657043418629276,[-0.5],3.546451076985035
