,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[0.5],2.468794835629442e-09,[-0.5],0.4666320865054543,[-0.5],1.7888543819998226
kfold,[-1.0],0.0291845685841332,[-1.0],1.5044499619170484,[-1.0],5.321037465614849
