model,none,train,test,train+test
linear,13.642887331116537,13.20969451139927,11.906280981698046,3.6133551386579215
poly2,13.642849355848492,13.209710199796966,11.90629524152933,3.6133545436880063
poly3,13.642852060586543,13.20971773437892,11.906297524092247,3.6133542644327363
exp,13.64286111776369,13.20970956915772,11.904647775221248,3.614074253316607
log,13.642850701458716,13.209719653293732,11.906298801589593,3.613354352984439
power,13.643604085108077,13.202474191358665,11.910400004363618,3.6530840220672016
hmult,13.642857431634786,13.209686911673785,11.913198099861566,3.6133556821283697
mult,13.64285551360364,13.209707260765004,11.9062964798986,3.6137185447052365
am,13.714066750690275,13.264517208759361,12.005584872394214,4.077630282041176
gm,13.714118549250538,13.2649704000825,12.004243460820907,4.071310049776741
hm,13.714451959234928,13.265681696152237,11.99926566367686,4.051595634785472
