gov-bible-1-gov-gu,"-0.050685497442972856,4.74585887256651",0.23915551368425172
gov-bible-1-gov-hi,"-0.0032243688597162414,2.7943386677621507",0.09099337012069227
gov-bible-1-gov-si,"-0.01836795315179884,1.989796282696099",0.38918892954613193
gov-bible-1-gov-ka,"0.031292893308294746,1.0902771541271319",0.13997357611736536
gov-bible-1-gov-ta,"-0.012590140244640063,2.016509543675754",0.3657510444625981
gov-bible-1-flores-gu,"0.015646270640251668,3.1454681286031043",0.06998550760150365
gov-bible-1-flores-hi,"0.011259035212556332,2.3079550231023807",0.06230272697357062
gov-bible-1-flores-si,"0.00479719041061408,0.9467696077363716",0.06776073697772848
gov-bible-1-flores-ka,"0.038777605335310654,0.8322000621357278",0.19830739439533204
gov-bible-1-flores-ta,"0.008786923633007034,1.0610914830864993",0.03030946879592597
gov-bible-1-bible-gu,"0.053761159812638314,16.01186664855319",0.31508275874206
gov-bible-1-bible-hi,"0.022862619732248585,18.409750965306344",0.2501368068090997
gov-bible-1-bible-si,"0.03630022997113417,21.569136490129505",0.25492140893531967
gov-bible-1-bible-ka,"0.13851025989312865,13.26202866670243",0.9268153293995612
gov-bible-1-bible-ta,"0.024608868092738653,16.420614665954655",0.20646037416483295
gov-bible-10-gov-gu,"-0.06259622899035981,10.224664838296661",0.28002534112011074
gov-bible-10-gov-hi,"-0.0128213064492096,5.034293807010599",0.43077527404581345
gov-bible-10-gov-si,"-0.017022453594947935,6.439668383428209",0.434215151328779
gov-bible-10-gov-ka,"0.047619853919576356,1.893842989543962",0.16330519326373755
gov-bible-10-gov-ta,"-0.016932898523215854,6.462703121382111",0.5953362148915163
gov-bible-10-flores-gu,"0.012585033492610252,5.48231299679868",0.005832118435566938
gov-bible-10-flores-hi,"0.007369280655446465,3.4665747468346666",0.05631024551699678
gov-bible-10-flores-si,"-0.00238195500156569,2.3510972993387083",0.11411819290136162
gov-bible-10-flores-ka,"0.03877760527216435,2.032200063427198",0.19830739438862272
gov-bible-10-flores-ta,"0.003305842343025571,2.2039704649187644",0.055824538854310185
gov-bible-10-bible-gu,"0.01496613875545873,24.486565611506308",0.11664347227279441
gov-bible-10-bible-hi,"0.004064393224582334,28.062377034277066",0.08250164984794091
gov-bible-10-bible-si,"0.015656170956285093,34.059095113009924",0.20078071531081138
gov-bible-10-bible-ka,"0.08201984452747277,23.232525477093283",0.37944993829244456
gov-bible-10-bible-ta,"0.01665959820507041,26.36576566647958",0.1274799041028878
gov-bible-25-gov-gu,"-0.04300821470237134,10.650535938962387",0.4911091208307284
gov-bible-25-gov-hi,"-0.013499553497885381,5.826089163246625",0.5764897248632925
gov-bible-25-gov-si,"-0.018806910716475875,6.638230513088809",0.4365756484429672
gov-bible-25-gov-ka,"0.04319860999961587,1.8130741330938518",0.1808054034874459
gov-bible-25-gov-ta,"-0.016936347216588394,7.456001370654474",0.5841541008394592
gov-bible-25-flores-gu,"0.020068030060708147,6.125803880967641",0.05248908644751811
gov-bible-25-flores-hi,"0.003558601731651401,3.7234842148402807",0.025315726833249737
gov-bible-25-flores-si,"0.0015651607423430006,2.341978738812127",0.10505316574434577
gov-bible-25-flores-ka,"0.026871422028811667,2.4096331609449493",0.1574721046072476
gov-bible-25-flores-ta,"0.004549665056653128,2.6272655704268164",0.09890950431250022
gov-bible-25-bible-gu,"-0.0017016387754877666,28.455291102154337",0.169138428600154
gov-bible-25-bible-hi,"0.012486753481563053,32.0550406875835",0.23922743566766663
gov-bible-25-bible-si,"0.008629723599808372,37.94079828648278",0.16242754295027653
gov-bible-25-bible-ka,"0.0595262243619675,27.71632807326424",0.20414187809666434
gov-bible-25-bible-ta,"0.004876943533470733,31.094083688300334",0.16386338247680907
cc_align-gov-1-gov-gu,"0.007999999993366048,24.100000000663393",3.5181626955012476e-10
cc_align-gov-1-gov-hi,"0.022666666666695066,21.033333333330496",1.5047787093525998e-12
cc_align-gov-1-gov-si,"0.020000000000000264,25.499999999999975",1.2560739669470201e-14
cc_align-gov-1-gov-ka,"0.03466666651052972,16.733333348947028",8.280411388008972e-09
cc_align-gov-1-gov-ta,"0.02266666666666668,21.833333333333332",0.0
cc_align-gov-1-flores-gu,"0.01066666666666666,10.133333333333335",1.2560739669470201e-15
cc_align-gov-1-flores-hi,"0.018666666666666634,8.833333333333336",0.0
cc_align-gov-1-flores-si,"0.013333333333333327,5.966666666666667",0.0
cc_align-gov-1-flores-ka,"0.02399999998908899,4.800000001091101",5.786437588342689e-10
cc_align-gov-1-flores-ta,"0.017333333333333336,3.9666666666666672",6.280369834735101e-16
cc_align-gov-1-bible-gu,"0.0026666666666343482,2.533333333336565",1.713598909407472e-12
cc_align-gov-1-bible-hi,"0.004,1.3",2.220446049250313e-16
cc_align-gov-1-bible-si,"0.003999999999544404,0.6000000000455595",2.4161603314451613e-11
cc_align-gov-1-bible-ka,"0.004000000000101361,0.4999999999974659",5.375447046172707e-12
cc_align-gov-1-bible-ta,"0.002666666666658352,0.7333333333341647",4.40881962398404e-13
cc_align-gov-10-gov-gu,"0.006666666666667331,34.63333333333326",3.517007107451656e-14
cc_align-gov-10-gov-hi,"0.007999999999999863,32.50000000000001",5.0242958677880805e-15
cc_align-gov-10-gov-si,"0.007999999999991616,42.00000000000084",4.4213803636535104e-13
cc_align-gov-10-gov-ka,"0.0040000000005656275,30.69999999994344",2.999504633069484e-11
cc_align-gov-10-gov-ta,"0.01200000000000008,34.49999999999999",0.0
cc_align-gov-10-flores-gu,"0.014666666666666705,18.333333333333332",2.5121479338940403e-15
