train set,test set,language to,c0,c1,c2,rmse,kfold rmse
gov,flores,ka,1.255566231027002,0.06054127714224243,-1.0868234384147037,1.7386431251544845,13.178678720934167
gov,flores,gu,3.3354482730725046,0.05589071706174061,-0.7840438924773355,3.028487539332955,6.745743810472921
gov,flores,hi,2.3023174417018724,0.07955584673150347,-0.9390731468460809,2.7286189453465375,2.8405182412505074
gov,flores,si,1.2241904048758192,0.05148502970276768,-0.9055471717753492,1.8941081357059393,2.586641217197845
gov,flores,ta,0.8535074619705526,0.02494916209279458,-0.8477477633957066,1.41626461010609,2.122160426210341
gov,bible,ka,0.0,0.0,0.0,1.3203534880225571,1.3203534880225571
gov,bible,gu,0.5794796621708352,0.0,-0.6598933763710549,1.2636110719279519,1.3968696600065122
gov,bible,hi,0.41740053445203645,0.0,-0.5532297965885368,0.9636998193288387,2.9073183520213264
gov,bible,si,0.0,0.0,0.0,1.065363787633126,1.065363787633126
gov,bible,ta,0.0,0.0,0.0,1.11579568022107,1.11579568022107
gov,gov,ka,7.6271471152437105,0.09860007432658623,-0.7887286089413066,3.6323383856561446,11.808169926525952
gov,gov,gu,16.38924895205887,0.03747761781016399,-0.3398011797061902,3.9450311418759014,4.650804258173446
gov,gov,hi,12.519145461184298,0.08338135465494825,-0.49566668748269016,4.292286739336626,3.984163171268973
gov,gov,si,14.954537349118674,0.09702996680660353,-0.5754913322568612,4.279275803179016,4.030548691982983
gov,gov,ta,12.651527160094677,0.08608476245253942,-0.5379058613022183,4.260632745776645,3.7516994555009138
bible,flores,ka,0.0,0.0,0.0,1.6663332999933318,1.6663332999933318
bible,flores,gu,0.545485401643869,0.0,-0.6359009349081438,1.182280494841228,3.467948480970654
bible,flores,hi,0.0,0.0,0.0,2.333809475228573,2.333809475228573
bible,flores,si,0.0,0.0,0.0,1.5427248620541512,1.5427248620541512
bible,flores,ta,0.0,0.0,0.0,1.5491933384829668,1.5491933384829668
bible,bible,ka,6.9097868033857806,0.05657964593919912,-0.617985355129696,3.5669122864451963,3.8874429662359224
bible,bible,gu,10.180725005243923,0.033654737671770844,-0.40791491702789606,3.8128123579777182,4.175430329628165
bible,bible,hi,12.321805432032653,0.029909918259802035,-0.37296569743472324,3.871502717637357,3.2567028045237896
bible,bible,si,15.453217265539555,0.03971657184317986,-0.37268194574625335,3.9161800800861855,3.6093850989552596
bible,bible,ta,10.257352502583798,0.037797350039261345,-0.4503484683413072,3.787629060472091,3.4175491658809345
bible,gov,ka,0.0,0.0,0.0,0.7593857166596345,0.7593857166596345
bible,gov,gu,0.0,0.0,0.0,2.281081614790083,2.281081614790083
bible,gov,hi,0.0,0.0,0.0,1.5790292376436015,1.5790292376436015
bible,gov,si,0.0,0.0,0.0,0.7325753658611971,0.7325753658611971
bible,gov,ta,0.0,0.0,0.0,0.6377042156569663,0.6377042156569663
